head	Temperature	Dissolved oxygen	Secchi depth	Chlorophyll-a	Chloride	Sulfate	Calcium	Magnesium	Sodium	Potassium	Iron	Manganese	pH	Dissolved inorganic carbon	Total inorganic carbon	Dissolved organic carbon	Total organic carbon	Nitrate plus nitrite	Ammonium	Total phosphorus	Soluble reactive phosphorus	Phytoplankton-Bacillariophyta	Phytoplankton-Chlorophyta	Phytoplankton-Chrysophyta	Phytoplankton-Cryptophyta	Phytoplankton-Cyanophyta	Phytoplankton-Euglenophyta	Phytoplankton-Haptophyta	Phytoplankton-Miscellaneous	Phytoplankton-Pyrrhophyta	Phytoplankton-Xanthophyta	Phytoplankton-Total	Zooplankton density
2003-Spring	3.45	14.850000000000001	4.800000000000001	NA	36.83	18.31	32.59	31.62	14.86	3.38	0.02	0.02	8.69	46.06	46.56	5.44	5.24	0.42700000000000005	0.29000000000000004	0.0835	0.058	0.30475	0.051	0.0044	0.044000000000000004	0.0193	0.0	0.0	0.00105	0.0001	0.0	0.4246	90640.0
2003-Clearwater	10.925	10.6	5.325	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.96	46.9	47.535	5.985	6.01	0.42133333333333334	0.125	0.05266666666666667	0.026500000000000003	0.255575	0.1666	0.004050000000000001	0.02915	0.6589	0.0	0.0	0.0	0.0004	0.0	1.114675	263453.3333333333
2003-Early Summer	13.600000000000001	4.9	3.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.34	NA	41.9	NA	5.99	0.14350000000000002	0.031	0.025500000000000002	0.001	0.0	0.09	0.0	0.0329	1.8561	0.0	0.0	0.0	0.0	0.0	1.979	271120.0
2003-Late Summer	15.419999999999998	1.7	2.6	NA	37.29	17.81	30.64	34.96	15.97	3.28	0.01	0.0	9.04	41.973333333333336	42.196666666666665	6.163333333333334	6.036666666666666	0.04240000000000001	0.0374	0.024399999999999998	0.0056	0.001525	0.065875	0.000575	0.023774999999999998	0.982775	0.0	0.0	0.000225	0.000275	0.0	1.075025	131690.0
2003-Fall	9.7	9.85	4.75	NA	38.11	18.1	31.05	36.03	16.73	3.59	0.01	0.03	8.34	49.010000000000005	48.84	5.734999999999999	5.91	0.061	0.4645	0.1255	0.1015	0.32785	0.0007	0.0002	0.01395	0.23704999999999998	0.0	0.0	0.0	0.0	0.0	0.57975	106400.0
2003-Ice-on	0.5	15.1	10.2	NA	37.75	20.18	34.45	35.36	15.92	4.34	0.01	0.0	8.73	48.69	49.69	6.01	6.05	0.298	0.368	0.091	0.078	0.6079	0.1055	0.0012	0.0068	0.0038	0.0	0.0	0.0	0.0003	0.0	0.7255	29880.0
2004-Spring	4.8	14.55	2.8	NA	38.01	19.23	34.9	34.5	17.9	2.75	0.0	0.0	8.58	46.14	45.94	5.92	5.73	0.5489999999999999	0.147	0.1225	0.0505	0.6174999999999999	0.03634999999999999	0.015199999999999998	0.2213	0.00715	0.00115	0.0	0.00065	0.01625	0.0	0.9155500000000001	136090.0
2004-Clearwater	12.6	8.959999999999999	5.7299999999999995	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.445	45.644999999999996	45.515	5.779999999999999	5.73	0.5258	0.13319999999999999	0.0714	0.0484	0.030580000000000003	0.01484	0.00048000000000000007	0.02728	0.4048999999999999	0.00056	0.0	0.0009400000000000001	0.011519999999999999	0.0	0.4911	250620.0
2004-Early Summer	17.35	1.0	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.89	41.3	41.0	6.24	6.4	0.15650000000000003	0.027000000000000003	0.04	0.009	0.0	0.007549999999999999	0.0	0.01515	2.9404500000000002	0.08085	0.0	0.0	0.00205	0.0	3.04605	141040.0
2004-Late Summer	16.72857142857143	3.0	2.0999999999999996	NA	38.31	18.14	28.8	32.1	15.8	2.77	0.0	0.0	8.92	41.325	41.65	6.305	6.525	0.0	0.025	0.037250000000000005	0.00725	0.00165	0.01735	0.01525	0.029699999999999997	2.1908499999999997	0.0	0.0	0.0	0.001875	0.0	2.256675	132550.0
2004-Fall	13.766666666666666	8.8	4.0	NA	21.6	10.4	30.4	31.4	13.2	3.39	0.0	0.01	8.31	43.91	NA	5.76	NA	0.043	0.475	0.124	0.104	0.0	0.0016	0.0	0.0067	0.1384	0.0	0.0	0.0	0.0	0.0	0.1467	113180.0
2004-Ice-on	1.0	13.3	5.2	NA	38.3	19.64	35.9	37.2	18.4	3.08	0.0	0.0	8.35	45.63	43.1	5.55	5.1	0.319	0.413	0.103	0.096	0.0087	0.0238	0.0047	0.1011	0.0164	0.0	0.0	0.0	0.0	0.0	0.1547	28880.0
2005-Spring	5.3	11.4	2.2	9.6	43.1	20.83	34.9	32.7	18.1	3.3	0.0	0.0	8.35	44.99	45.17	5.62	5.74	0.929	0.08	0.146	0.102	0.8056	0.0616	0.1127	0.3445	0.0098	0.0	0.0	0.0037	0.0251	0.0	1.363	314300.0
2005-Clearwater	10.399999999999999	9.08	4.98	2.94	NA	NA	NA	NA	NA	NA	NA	NA	8.425	44.545	44.165	6.385	5.92	0.7489999999999999	0.0968	0.1052	0.07339999999999999	0.22698000000000002	0.2061	0.00664	0.07282	0.35760000000000003	0.00216	0.0	0.0004	0.00128	0.0	0.8739800000000001	796800.0
2005-Early Summer	12.5	2.5	1.6	9.6	NA	NA	NA	NA	NA	NA	NA	NA	9.11	43.9	43.73	7.58	8.09	0.135	0.017	0.052	0.0	0.0039	0.0006	0.0	0.0089	5.5515	0.0	0.0	0.0	0.0	0.0	5.5649	543880.0
2005-Late Summer	14.680000000000001	1.6199999999999999	1.98	4.4799999999999995	39.75	18.44	26.0	30.9	17.8	3.34	0.01	0.01	9.036666666666667	39.81666666666667	39.82	7.153333333333333	7.52	0.0	0.011399999999999999	0.03319999999999999	0.0012000000000000001	0.05022	0.01482	0.0028	0.015760000000000003	2.83472	0.0	0.0	0.0	0.0	0.0	2.9183199999999996	298812.0
2005-Fall	8.95	8.3	5.0	1.5999999999999999	40.47	18.92	31.7	34.5	19.9	3.53	0.01	0.03	8.195	NA	45.56	NA	6.14	0.0425	0.45299999999999996	0.159	0.137	0.0046	0.0005	0.0008	0.00455	1.14445	0.0	0.0	0.0	0.0	0.0	1.1549	494700.0
2005-Ice-on	1.3	12.5	10.2	0.8	38.16	20.2	34.7	33.5	16.5	2.99	0.0	0.0	8.06	48.67	48.78	5.95	5.81	0.307	0.515	0.118	0.096	0.0021	0.0019	0.0001	0.0305	0.0022	0.0	0.0	0.0	0.0003	0.0	0.0371	32520.0
2006-Spring	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-Clearwater	9.5	10.357142857142858	5.633333333333333	1.95	45.18	20.83	34.79	34.59	19.44	3.33	0.0	0.01	8.553333333333333	43.03	42.88666666666668	4.920000000000001	4.89	0.3466666666666667	0.31833333333333336	0.11499999999999999	0.09649999999999999	0.029933333333333336	0.06998333333333334	0.007083333333333334	0.046099999999999995	0.24395	0.0	0.0	0.0022166666666666667	0.0017666666666666666	0.0	0.40103333333333335	971080.0
2006-Early Summer	12.877303921764701	3.3	3.15	4.45	NA	NA	NA	NA	NA	NA	NA	NA	9.2	46.49	42.95	6.13	6.13	0.09	0.05349999999999999	0.049	0.0115	0.0	0.1211	0.0017	0.0233	0.9651	0.0	0.0	0.0	0.0	0.0	1.1112	NA
2006-Late Summer	13.744287878787876	0.8333333333333334	2.6799999999999997	6.260000000000001	40.83	19.91	31.9	32.8	17.82	2.95	0.0	0.0	8.763333333333334	40.55	37.66333333333333	5.436666666666667	5.68	0.0054	0.0188	0.047400000000000005	0.0118	0.04044	0.00962	0.01046	0.02508	1.2383799999999998	0.0	0.0	0.0	0.0007	0.0	1.32468	NA
2006-Fall	12.697818181818183	10.45	4.8	1.5	40.89	19.37	34.3	33.7	18.3	3.22	0.0	0.0	8.195	44.125	46.08	5.24	5.02	0.0735	0.335	0.14	0.11649999999999999	0.0202	0.00575	0.0029500000000000004	0.020950000000000003	1.7452999999999999	0.0	0.0	0.00605	0.00475	0.0	1.80595	308560.0
2006-Ice-on	1.6	14.1	7.8	1.7	45.52	20.98	33.76	34.36	18.99	3.26	0.01	0.02	8.32	47.86	47.52	7.41	9.55	0.264	0.515	0.148	0.132	0.0	0.0374	0.0016	0.0551	0.0332	0.0	0.0	0.0	0.0	0.0	0.1273	135620.0
2007-Spring	5.166666666666667	14.133333333333333	3.3333333333333335	7.133333333333333	39.34	19.03	37.9	34.7	20.3	3.49	0.0	0.0	8.25	40.22	42.85	4.74	5.0	0.48	0.18400000000000002	0.11533333333333333	0.08366666666666667	0.7749333333333334	0.0321	0.056999999999999995	0.19976666666666665	0.013633333333333336	0.0	0.0	0.0023	0.012466666666666668	0.0	1.0922	298583.6666666667
2007-Clearwater	12.695583333125002	5.4	6.9	0.75	NA	NA	NA	NA	NA	NA	NA	NA	8.49	42.59	44.36	4.96	5.06	0.4885	0.1475	0.079	0.0605	0.0031	0.017849999999999998	0.00025	0.022150000000000003	0.02515	0.00265	0.0	0.0	0.0	0.0	0.07115	684982.0
2007-Early Summer	15.820954954864868	5.1	3.0	4.333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	8.844999999999999	39.644999999999996	40.15	5.32	5.24	0.25	0.030333333333333334	0.051666666666666666	0.024333333333333335	0.005399999999999999	0.05076666666666666	0.0012	0.009266666666666668	2.5073000000000003	0.0	0.0	0.0	0.0051333333333333335	0.0	2.5790666666666664	284439.6666666667
2007-Late Summer	17.637183520561805	1.6600000000000001	2.2399999999999998	5.619999999999999	40.72	18.33	28.6	34.0	20.3	3.05	0.0	0.0	8.75	35.59	35.69	5.31	5.416666666666667	0.0	0.017599999999999998	0.0328	0.0054	0.035559999999999994	0.01658	0.00286	0.02272	2.0156199999999997	0.0	0.0	0.0	0.0	0.0	2.0933400000000004	93563.0
2007-Fall	10.7	9.45	3.5	1.1	39.33	18.68	33.6	33.9	19.7	3.38	0.06	0.0	8.165	43.885	43.65	5.115	5.205	0.108	0.49950000000000006	0.144	0.121	0.00335	0.012750000000000001	0.0001	0.0183	0.27195	0.0	0.0	0.0	0.0	0.0	0.30645	75922.0
2007-Ice-on	1.4	14.15	7.6	1.9	40.35	19.28	38.4	36.65	21.1	3.55	0.0	0.0	8.175	46.05	46.57	5.125	5.075	0.278	0.345	0.1265	0.112	0.0052	0.038200000000000005	0.0017000000000000001	0.08175	0.06945	0.0	0.0	0.00015	0.0005	0.0	0.19695000000000001	132747.0
2008-Spring	2.9	15.2	0.9	15.8	44.96	18.52	39.1	33.1	21.5	3.06	0.0	0.0	8.51	41.95	43.01	4.96	5.18	0.975	0.0	0.137	0.026	6.1253	0.0264	0.0138	0.114	0.0079	0.0	0.0	0.0	0.0092	0.0	6.2966	126618.0
2008-Clearwater	12.418333333333331	10.775	6.725	3.225	NA	NA	NA	NA	NA	NA	NA	NA	8.685	NA	NA	NA	NA	0.7879999999999999	0.1235	0.062	0.042	0.099875	0.016800000000000002	0.011400000000000002	0.108625	0.035750000000000004	0.0003	0.0	0.001175	0.00155	0.0	0.27547499999999997	375546.75
2008-Early Summer	16.348979166666666	3.440000000000001	1.5166666666666666	8.566666666666668	NA	NA	NA	NA	NA	NA	NA	NA	9.18	39.64	40.06	5.55	5.4	0.5466666666666666	0.03333333333333333	0.07233333333333333	0.02866666666666667	0.009633333333333332	0.018600000000000002	0.0010666666666666667	0.03136666666666667	7.7428	0.0	0.0	0.0023	0.0	0.0	7.805766666666667	262050.0
2008-Late Summer	17.303520547945208	2.671764705882353	1.575	10.924999999999999	39.19	16.91	28.7	27.0	17.0	2.83	0.0	0.0	8.976666666666667	35.095	34.815	5.385	5.635	0.01375	0.0	0.038	0.00075	0.026025	0.02305	0.000575	0.027300000000000005	8.73245	0.0	0.0	0.0	0.0	0.0	8.8094	469365.75
2008-Fall	13.868305555555555	7.966666666666666	3.5	1.0	40.39	15.93	27.9	26.3	16.2	2.7	0.0	0.0	8.34	43.78	43.36	4.6	4.65	0.107	0.608	0.156	0.127	0.0313	0.0065	0.0007	0.0073	0.3676	0.0	0.0	0.0	0.0	0.0	0.4134	373010.0
2008-Ice-on	0.9	11.8	10.5	0.8	40.59	19.3	34.5	32.7	18.8	3.12	0.0	0.0	8.5	44.88	45.36	5.3	5.31	0.439	0.417	0.143	0.118	0.004	0.0147	0.0065	0.0551	0.0213	0.0	0.0	0.0044	0.0029	0.0	0.1089	112470.0
2009-Spring	6.459437499999999	13.575999999999999	3.25	5.95	43.91	16.63	41.1	32.2	21.4	3.45	0.0	0.0	8.4	4.72	44.29	4.77	41.77	1.46	0.0795	0.189	0.124	0.2339	0.0059	0.0264	0.1641	0.00825	0.0	0.0	0.0	0.0	0.0	0.43855	456715.5
2009-Clearwater	12.681031250000006	9.043636363636365	6.3999999999999995	1.575	NA	NA	NA	NA	NA	NA	NA	NA	8.504999999999999	42.56	42.31	4.62	4.62	1.3025000000000002	0.13874999999999998	0.125	0.09924999999999999	0.20149999999999998	0.029225	0.007325000000000001	0.032725	0.0501	0.0	0.0	0.0	0.0061	0.0	0.326975	564646.5
2009-Early Summer	15.411797619047618	2.362142857142857	1.2333333333333334	9.766666666666667	44.21	18.06	33.3	33.1	21.8	3.53	0.0	0.01	8.94	36.18	35.535	5.1	5.33	0.545	0.0	0.08	0.024666666666666667	0.07566666666666667	0.021533333333333335	0.0031666666666666666	0.023366666666666664	6.806166666666667	0.0	0.0	0.0	0.0009666666666666666	0.0	6.930866666666667	314478.6666666667
2009-Late Summer	17.80393518518519	2.292	1.6333333333333335	9.333333333333334	NA	NA	NA	NA	NA	NA	NA	NA	8.825	37.6	35.435	5.26	5.21	0.008333333333333333	0.11133333333333334	0.06166666666666667	0.011000000000000001	0.6053999999999999	0.041666666666666664	0.00036666666666666667	0.013733333333333334	3.8497	0.0	0.0	0.0	0.0012666666666666666	0.0	4.512133333333334	546842.0
2009-Fall	11.42947169811321	8.623333333333333	4.85	1.9000000000000001	24.52	8.29	33.1	32.2	20.8	3.59	0.01	0.0	8.23	41.275	44.79	5.244999999999999	5.1	0.1875	0.6405000000000001	0.1555	0.133	0.18435	0.0363	0.0015	0.07675	0.10064999999999999	0.0	0.0	0.0	0.0	0.0	0.39954999999999996	251796.5
2009-Ice-on	1.1	15.3	11.3	0.6	43.51	17.9	35.7	31.7	19.2	3.08	0.0	0.0	8.33	49.63	49.73	5.07	5.17	0.565	0.556	0.15	0.128	0.0019	0.0214	0.0091	0.0138	0.0425	0.0	0.0	0.0	0.0	0.0	0.0887	80403.0
2010-Spring	9.378064516129033	12.75	1.75	23.175	46.34	18.53	43.1	35.8	23.4	3.43	0.0	0.0	8.795	41.925	41.775000000000006	5.35	5.619999999999999	0.7265000000000001	0.057249999999999995	0.08125	0.0195	2.406625	0.1156	0.053275	0.25355	0.16095	0.0	0.0	0.02045	0.070825	0.000175	3.08145	370890.25
2010-Clearwater	12.221899999999998	8.49	7.6	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.639	0.199	0.07	0.045	0.0	0.0388	0.0013	0.0368	0.2634	0.0	0.0	0.0	0.0	0.0	0.3403	203248.0
2010-Early Summer	13.41393103448276	4.79	2.0	7.300000000000001	NA	NA	NA	NA	NA	NA	NA	NA	9.01	40.0	40.62	6.01	5.41	0.386	0.042	0.04	0.0	0.05515	0.6149	0.01865	0.00995	1.97695	0.0	0.0	0.00535	0.0	0.0	2.68095	160230.0
2010-Late Summer	16.433012963000003	0.9	1.4166666666666667	11.049999999999999	43.25	16.37	26.4	30.4	19.9	3.09	0.0	0.0	8.94	35.57333333333333	36.873333333333335	4.463333333333334	4.613333333333333	0.014499999999999999	0.03383333333333333	0.04016666666666666	0.0033333333333333335	0.5468333333333334	0.10215	0.014983333333333333	0.03521666666666667	1.7736833333333333	0.0	0.0	0.0	0.0038	0.0	2.4766666666666666	58287.5
2010-Fall	13.1594	10.3	2.9	12.6	44.06	16.94	32.6	31.8	20.1	3.14	0.0	0.0	8.58	38.63	39.53	38.54	40.11	0.122	0.484	0.096	0.062	3.0728	0.0019	0.0065	0.0415	0.9451	0.0	0.0	0.0	0.0	0.0	4.0678	45290.0
2010-Ice-on	2.0	11.3	9.0	2.9	46.73	19.16	NA	32.6	21.1	3.44	0.0	0.0	8.42	40.66	40.22	5.41	5.19	0.653	0.369	0.136	0.109	0.4447	0.0037	0.0104	0.116	0.0192	0.0	0.0	0.0	0.0	0.0	0.594	139113.0
2011-Spring	9.6921	11.044	2.0666666666666664	9.8	45.99	18.22	36.9	30.8	20.5	3.07	0.0	0.0	8.205	43.370000000000005	46.5	4.115	4.154999999999999	0.866	0.06033333333333333	0.07366666666666667	0.021	3.0901103533333334	0.06303047	0.02692644333333333	0.12619501	0.050801729999999996	0.0	0.0	0.0023650566666666667	0.026774726666666665	0.0	3.38620379	1990262.0
2011-Clearwater	13.419267857142858	7.2425	6.6	1.15	NA	NA	NA	NA	NA	NA	NA	NA	8.48	40.1	41.41	4.26	4.34	0.775	0.1995	0.07	0.049	0.17566371	0.009402355000000001	0.00035313499999999997	0.009075905	0.378882155	0.0	0.0	0.0	0.0	0.0	0.57337726	1671480.0
2011-Early Summer	14.633267857142856	3.828333333333333	3.3	4.7	NA	NA	NA	NA	NA	NA	NA	NA	8.89	NA	NA	8.9	8.78	0.382	0.021	0.027	0.0	0.000567615	0.020251735	0.007782535	0.00461841	2.651906655	0.0	0.0	0.0	0.0	0.0	2.68512695	226070.5
2011-Late Summer	15.72659210526316	1.1111111111111112	2.38	8.24	46.37	17.5	34.88	31.88	21.53	3.09	0.0	0.01	8.553333333333333	NA	NA	NA	NA	0.0818	0.083	0.033	0.0092	0.012458585999999999	16.973679217999997	0.008005872	0.064832528	4.5637290020000005	0.0	0.0	0.0	0.000283806	0.0	21.622989008	790681.6
2011-Fall	12.833645161290322	10.9	2.6	8.7	47.27	16.16	NA	NA	NA	NA	NA	NA	8.2	NA	NA	NA	NA	0.072	0.519	0.113	0.069	13.4223805	0.00166738	0.00608057	0.00943658	0.58873415	0.0	0.0	0.0	0.0	0.0	14.02829918	739390.0
2011-Ice-on	1.9	11.0	5.3	1.4	45.49	17.52	37.3	34.6	22.1	4.11	0.0	0.0	8.28	NA	41.12	NA	4.49	0.33	0.591	0.082	0.069	0.0	0.00351427	0.00977647	0.03496343	0.066825	0.0	0.0	0.00094602	0.0	0.0	0.11602519	327977.0
2012-Spring	7.4	13.350000000000001	2.05	18.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.625	0.0965	0.066	0.013000000000000001	1.01695696	0.450569765	0.08470925	0.165307065	0.34166619	0.0	0.0	0.0	0.02350276	0.0	2.08271199	1359065.0
2012-Clearwater	12.987930894390246	8.55	6.720000000000001	1.15	48.66	18.34	35.45	32.85	22.28	3.02	0.0	0.0	8.27	38.66	41.31	4.51	4.71	0.5892499999999999	0.22775	0.067	0.037	0.0011115175	0.0169447825	0.0051434775	0.030205527500000003	0.0228087025	0.0	0.0	3.3565e-05	8.78025e-05	0.0	0.076335375	1244710.0
2012-Early Summer	16.015796296666664	3.6799999999999997	2.166	6.4	NA	NA	NA	NA	NA	NA	NA	NA	8.71	50.37	49.39	4.65	4.55	0.3235	0.0375	0.0385	0.0055	0.0	0.43202665500000004	0.010732415	0.0261191	0.988856935	0.0	0.0	0.00096051	0.0	0.0	1.458695615	1091685.5
2012-Late Summer	17.635719697045452	1.364	2.0554088888888895	9.283333333333333	50.35	18.03	23.19	34.99	24.7	2.93	0.02	0.0	8.68	38.05	39.195	4.8475	4.8075	0.0	0.0	0.021333333333333333	0.0	1.3468139583333334	0.047348119999999994	0.016975758333333334	0.080492105	0.5243050133333332	0.0	0.0	0.0009164749999999999	0.0005321383333333333	0.0	2.0173835683333334	730513.8333333334
2012-Fall	10.72493636369091	9.622499999999999	3.538444444444444	6.35	49.2	16.1	29.97	32.6	20.14	2.49	0.04	0.0	8.600000000000001	42.114999999999995	42.015	5.140000000000001	4.734999999999999	0.0685	0.395	0.0785	0.036500000000000005	1.1132647050000002	0.01451301	0.006449969999999999	0.03333316	1.15091328	0.0	0.00071945	0.0	0.0	0.0	2.319193575	574475.0
2012-Ice-on	2.9	16.1	2.3	14.2	49.02	18.83	34.87	33.25	22.44	3.14	0.0	0.0	7.86	39.03	41.81	4.49	4.84	0.481	0.252	0.077	0.03	0.69372565	0.10391566	0.06885541	0.11667124	0.26092136	0.0	0.0	0.0	0.12877738	0.0	1.3728667	387630.0
2013-Spring	7.156894736842105	13.912	2.374	14.2	52.2	19.73	35.56	33.38	24.83	3.1	0.0	0.0	8.615	44.265	38.05	6.175000000000001	5.705	0.5449999999999999	0.135	0.07	0.02	0.6491347999999999	0.10132872	0.003828905	0.1162047	0.045902445	0.0	0.04559221	0.0	0.060060630000000004	0.0	1.02205241	1015880.5
