Date	Phytoplankton-Bacillariophyta	Phytoplankton-Chlorophyta	Phytoplankton-Chrysophyta	Phytoplankton-Cryptophyta	Phytoplankton-Cyanophyta	Phytoplankton-Euglenophyta	Phytoplankton-Haptophyta	Phytoplankton-Miscellaneous	Phytoplankton-Pyrrhophyta	Phytoplankton-Xanthophyta	Phytoplankton-Total
2001-06-04	0.00788621	0.00785507	0.00116227	0.04154719	0.06909362	0	0	0.0008702	0	0	0.12841456
2001-06-18	0.00017241	0.00236688	0	0.00050701	0.00549169	0	0	0.0017404	0	0	0.01027839
2001-07-02	0	0.00431734	0	0.00466357	6.1338594	0	0	0.00507617	0	0	6.14791648
2001-07-16	0.00359186	0.01333809	0	0.01446295	2.7366457	0	0	0.0034808	0	0	2.7715194
2001-07-30	0.1547	0.0047	0	0.0102	3.5629	0	0	0	0	0	3.7325
2001-08-13	0.0048	0.0444	0	0.0277	2.2225	0	0	0	0	0	2.2994
2001-08-27	0.4585	0.0967	0	0.0125	3.5585	0	0	0	0	0	4.1262
2001-09-26	1.6181	0.1139	0	0.02	6.1088	0	0	0	0	0	7.8608
2001-10-22	0.1109	0.0003	0	0.001	0.0539	0	0	0	0	0	0.1661
2001-11-26	0.2533	0.0025	0.0007	0.0058	0.0094	0	0	0	0	0	0.2717
2001-11-28	0.00061715	0.00652263	0	0.00910911	0.02499114	0	0	0.00029007	0	0	0.0415301
2002-03-28	0.8621	0.0003	0.0065	0.0212	0.0556	0	0	0	0	0	0.9457
2002-04-08	0.8414	0.0076	0	0.0197	0.0193	0	0	0.0046	0	0	0.8926
2002-04-24	0.1584	0.0036	0.0009	0.0645	0.0216	0	0	0.0073	0	0	0.2563
2002-05-06	0.0004	0.0012	0	0.0234	0.018	0	0	0	0	0	0.043
2002-05-20	0.012	0.0356	0	0.0178	0.0312	0	0	0.0004	0	0	0.097
2002-06-03	0.0004	0.0135	0	0.0289	0.0356	0	0	0.0005	0	0	0.0789
2002-06-19	0.0003	0.0113	0.0002	0.005	0.0074	0	0	0.01	0	0	0.0342
2002-07-01	0.0047	0.2045	0	0.0019	1.2285	0	0	0	0	0	1.4396
2002-07-15	0	0.1049	0	0.0066	1.337	0	0	0	0	0	1.4485
2002-07-26	0	0.014	0	0.0051	1.2893	0	0	0	0	0	1.3084
2002-08-12	0.0073	0.0126	0	0.0014	1.9874	0	0	0.0015	0	0	2.0102
2002-08-26	0	0.0342	0	0	1.7259	0	0	0	0	0	1.7601
2002-09-23	0	0.007	0.0041	0.0142	0.5514	0	0	0.0014	0	0	0.5781
2002-10-21	0.0164	0.0007	0.0009	0.0316	0.2686	0	0	0.0002	0.001	0	0.3194
2003-01-21	0.6079	0.1055	0.0012	0.0068	0.0038	0	0	0	0.0003	0	0.7255
2003-04-03	0.0522	0.0309	0.0014	0.019	0.0181	0	0	0.0003	0.0002	0	0.1221
2003-04-14	0.5573	0.0711	0.0074	0.069	0.0205	0	0	0.0018	0	0	0.7271
2003-04-28	0.0234	0.0161	0.0119	0.0205	0.0642	0	0	0	0.0002	0	0.1363
2003-05-03	0.955	0.0688	0.0016	0.0059	0.0359	0	0	0	0	0	1.0672
2003-05-27	0.0067	0.2075	0.0024	0.0828	0.1394	0	0	0	0.0014	0	0.4402
2003-06-09	0.0372	0.374	0.0003	0.0074	2.3961	0	0	0	0	0	2.815
2003-07-21	0	0.09	0	0.0329	1.8561	0	0	0	0	0	1.979
2003-08-04	0	0.1357	0	0.0029	1.987	0	0	0	0	0	2.1256
2003-08-18	0	0.0936	0	0.002	0.7895	0	0	0	0	0	0.8851
2003-09-02	0	0.0068	0.0009	0.0304	0.9095	0	0	0	0	0	0.9476
2003-09-29	0.0061	0.0274	0.0014	0.0598	0.2451	0	0	0.0009	0.0011	0	0.3418
2003-10-27	0.6493	0.0009	0.0004	0.0201	0.3797	0	0	0	0	0	1.0504
2003-11-25	0.0064	0.0005	0	0.0078	0.0944	0	0	0	0	0	0.1091
2004-02-05	0.0087	0.0238	0.0047	0.1011	0.0164	0	0	0	0	0	0.1547
2004-03-29	0.4587	0.0384	0.0072	0.1992	0.0069	0.0023	0	0	0.0036	0	0.7163
2004-04-12	0.7763	0.0343	0.0232	0.2434	0.0074	0	0	0.0013	0.0289	0	1.1148
2004-04-26	0.0305	0.0043	0	0.0242	0.0214	0.0002	0	0	0.0085	0	0.0891
2004-05-10	0.064	0.0351	0	0.0217	0.0667	0	0	0.0025	0.0001	0	0.1901
2004-05-24	0.0265	0.0159	0.0008	0.0535	0.6031	0	0	0.0011	0.049	0	0.7499
2004-06-07	0.0237	0.0083	0.0016	0.023	0.2856	0.0026	0	0.0011	0	0	0.3459
2004-06-21	0.0082	0.0106	0	0.014	1.0477	0	0	0	0	0	1.0805
2004-07-07	0	0.0015	0	0.0152	2.686	0.1617	0	0	0.0041	0	2.8685
2004-07-19	0	0.0136	0	0.0151	3.1949	0	0	0	0	0	3.2236
2004-08-03	0	0.0346	0	0.0252	3.8053	0	0	0	0.0075	0	3.8726
2004-08-16	0	0.0177	0	0.0237	2.7455	0	0	0	0	0	2.7869
2004-09-07	0.0066	0.0135	0.061	0.0532	0.9163	0	0	0	0	0	1.0506
2004-10-05	0	0.0036	0	0.0167	1.2963	0	0	0	0	0	1.3166
2004-11-03	0	0.0016	0	0.0067	0.1384	0	0	0	0	0	0.1467
2005-01-31	0.0021	0.0019	0.0001	0.0305	0.0022	0	0	0	0.0003	0	0.0371
2005-04-15	0.8056	0.0616	0.1127	0.3445	0.0098	0	0	0.0037	0.0251	0	1.363
2005-04-25	0.6199	0.0206	0.0271	0.1449	0.0076	0	0	0.0011	0.0061	0	0.8273
2005-05-09	0.1433	0.0011	0	0.0554	0.0011	0.0043	0	0.0007	0.0001	0	0.206
2005-05-23	0.3459	0	0.0048	0.1118	0.0016	0.006	0	0.0002	0	0	0.4703
2005-06-06	0.0258	0.9679	0.0008	0.0404	0.0098	0.0005	0	0	0.0002	0	1.0454
2005-06-20	0	0.0409	0.0005	0.0116	1.7679	0	0	0	0	0	1.8209
2005-07-05	0.0039	0.0006	0	0.0089	5.5515	0	0	0	0	0	5.5649
2005-07-18	0	0	0.0103	0.0073	6.0592	0	0	0	0	0	6.0768
2005-08-01	0	0.0409	0	0.0098	6.3914	0	0	0	0	0	6.4421
2005-08-15	0.1631	0.0004	0	0	0.0076	0	0	0	0	0	0.1711
2005-08-29	0	0.0106	0.0011	0.0268	0.9413	0	0	0	0	0	0.9798
2005-09-26	0.088	0.0222	0.0026	0.0349	0.7741	0	0	0	0	0	0.9218
2005-11-02	0.0051	0.0003	0	0.0053	1.0855	0	0	0	0	0	1.0962
2005-11-30	0.0041	0.0007	0.0016	0.0038	1.2034	0	0	0	0	0	1.2136
2006-03-06	0	0.0374	0.0016	0.0551	0.0332	0	0	0	0	0	0.1273
2006-04-04	0.0309	0.0583	0.0182	0.0306	0.0529	0	0	0.0098	0.0011	0	0.2018
2006-04-17	0.1034	0.0375	0.0183	0.0745	0.0309	0	0	0.0031	0	0	0.2677
2006-05-02	0.0141	0.0195	0.0038	0.0477	0.3085	0	0	0	0.0002	0	0.3938
2006-05-15	0	0.1078	0.0014	0.0056	0.0141	0	0	0.0004	0.0093	0	0.1386
2006-05-30	0.0172	0.0285	0.0008	0.0794	0.037	0	0	0	0	0	0.1629
2006-06-12	0.014	0.1683	0	0.0388	1.0203	0	0	0	0	0	1.2414
2006-06-26	0	0.0746	0	0.0047	1.2972	0	0	0	0	0	1.3765
2006-07-10	0	0.1676	0.0034	0.0419	0.633	0	0	0	0	0	0.8459
2006-07-24	0	0.0079	0.0014	0.0165	1.3047	0	0	0	0	0	1.3305
2006-08-07	0	0.0232	0.0099	0.0586	0.8844	0	0	0	0.0035	0	0.9796
2006-08-21	0.0257	0.0015	0.0227	0.0114	0.2782	0	0	0	0	0	0.3395
2006-09-06	0.1765	0.0111	0.0172	0.0186	1.1843	0	0	0	0	0	1.4077
2006-10-02	0	0.0044	0.0011	0.0203	2.5403	0	0	0	0	0	2.5661
2006-10-30	0.0404	0.0063	0.0051	0.0074	2.8888	0	0	0.0053	0	0	2.9533
2006-11-27	0	0.0052	0.0008	0.0345	0.6018	0	0	0.0068	0.0095	0	0.6586
2007-01-03	0.0093	0.0074	0.0022	0.0447	0.1309	0	0	0.0003	0	0	0.1948
2007-02-19	0.0011	0.069	0.0012	0.1188	0.008	0	0	0	0.001	0	0.1991
2007-04-02	0.1574	0.0328	0.086	0.1632	0.0067	0	0	0.001	0.0014	0	0.4485
2007-04-16	1.9102	0.027	0.0378	0.2345	0.0205	0	0	0	0.0189	0	2.2489
2007-04-30	0.2572	0.0365	0.0472	0.2016	0.0137	0	0	0.0059	0.0171	0	0.5792
2007-05-14	0	0.0046	0.0005	0.0035	0.0087	0	0	0	0	0	0.0173
2007-05-29	0.0062	0.0311	0	0.0408	0.0416	0.0053	0	0	0	0	0.125
2007-06-11	0.0125	0.0768	0.0002	0.0141	0.5108	0	0	0	0	0	0.6144
2007-06-25	0.0011	0.0022	0	0.0114	2.4822	0	0	0	0.0137	0	2.5106
2007-07-09	0.0026	0.0733	0.0034	0.0023	4.5289	0	0	0	0.0017	0	4.6122
2007-07-23	0.0076	0.0619	0	0.0071	5.1879	0	0	0	0	0	5.2645
2007-08-06	0.0074	0.0062	0.0103	0.0386	1.1251	0	0	0	0	0	1.1876
2007-08-20	0.0964	0.006	0.0009	0.0089	1.0065	0	0	0	0	0	1.1187
2007-09-04	0.0086	0.0003	0	0.025	1.148	0	0	0	0	0	1.1819
2007-10-01	0.0578	0.0085	0.0031	0.034	1.6106	0	0	0	0	0	1.714
2007-10-29	0.0057	0.0077	0	0.024	0.4542	0	0	0	0	0	0.4916
2007-11-26	0.001	0.0178	0.0002	0.0126	0.0897	0	0	0	0	0	0.1213
2008-02-13	0.004	0.0147	0.0065	0.0551	0.0213	0	0	0.0044	0.0029	0	0.1089
2008-04-14	6.1253	0.0264	0.0138	0.114	0.0079	0	0	0	0.0092	0	6.2966
2008-04-28	0.2955	0.0053	0.0211	0.2434	0.0053	0	0	0.0021	0.0062	0	0.5789
2008-05-12	0.0996	0.0023	0.0241	0.1704	0.0047	0	0	0	0	0	0.3011
2008-05-28	0.0031	0.0367	0.0003	0.0092	0.0371	0.0012	0	0.0025	0	0	0.0901
2008-06-09	0.0013	0.0229	0.0001	0.0115	0.0959	0	0	0.0001	0	0	0.1318
2008-06-23	0.0255	0.0159	0.0025	0.0316	2.3824	0	0	0	0	0	2.4579
2008-07-07	0.0034	0.0357	0.0007	0.0099	10.7854	0	0	0	0	0	10.8351
2008-07-21	0	0.0042	0	0.0526	10.0606	0	0	0.0069	0	0	10.1243
2008-08-04	0.0175	0.0156	0.0023	0.0486	17.0027	0	0	0	0	0	17.0867
2008-08-18	0.0151	0.0216	0	0.0345	11.7084	0	0	0	0	0	11.7796
2008-09-05	0.0658	0.0089	0	0.0152	2.3738	0	0	0	0	0	2.4637
2008-09-29	0.0057	0.0461	0	0.0109	3.8449	0	0	0	0	0	3.9076
2008-10-29	0.0313	0.0065	0.0007	0.0073	0.3676	0	0	0	0	0	0.4134
2009-01-02	0.0019	0.0214	0.0091	0.0138	0.0425	0	0	0	0	0	0.0887
2009-04-15	0.3013	0.0092	0.0382	0.2474	0.0152	0	0	0	0	0	0.6113
2009-04-27	0.1665	0.0026	0.0146	0.0808	0.0013	0	0	0	0	0	0.2658
2009-05-11	0.7676	0.0626	0.0205	0.059	0.013	0	0	0	0.0244	0	0.9471
2009-05-28	0.0073	0.0353	0.0067	0.061	0.0102	0	0	0	0	0	0.1205
2009-06-09	0.0229	0	0	0	0.0013	0	0	0	0	0	0.0242
2009-06-23	0.0082	0.019	0.0021	0.0109	0.1759	0	0	0	0	0	0.2161
2009-07-06	0.0038	0.0102	0.0011	0.0305	4.9484	0	0	0	0.0029	0	4.9969
2009-07-20	0	0.0037	0.0017	0.0247	4.3089	0	0	0	0	0	4.339
2009-08-05	0.2232	0.0507	0.0067	0.0149	11.1612	0	0	0	0	0	11.4567
2009-08-19	0.1802	0.0818	0	0.0144	5.1263	0	0	0	0	0	5.4027
2009-09-02	1.589	0.0375	0	0.0204	3.98	0	0	0	0.0038	0	5.6307
2009-09-30	0.047	0.0057	0.0011	0.0064	2.4428	0	0	0	0	0	2.503
2009-10-28	0.0286	0.0011	0.0016	0.1207	0.1276	0	0	0	0	0	0.2796
2009-12-03	0.3401	0.0715	0.0014	0.0328	0.0737	0	0	0	0	0	0.5195
2010-02-01	0.4447	0.0037	0.0104	0.116	0.0192	0	0	0	0	0	0.594
2010-03-29	6.2124	0.2275	0.0307	0.6256	0.0238	0	0	0.0316	0.0421	0	7.1937
2010-04-13	2.2946	0.0861	0.0619	0.1526	0.0227	0	0	0.0091	0.2059	0	2.8329
2010-04-26	0.8248	0.1394	0.1115	0.2132	0.4283	0	0	0.0353	0.0296	0	1.7821
2010-05-10	0.2947	0.0094	0.009	0.0228	0.169	0	0	0.0058	0.0057	0.0007	0.5171
2010-05-24	0	0.0388	0.0013	0.0368	0.2634	0	0	0	0	0	0.3403
2010-06-07	0.1103	1.1723	0.0024	0.0155	2.4625	0	0	0.0107	0	0	3.7737
2010-06-21	0	0.0575	0.0349	0.0044	1.4914	0	0	0	0	0	1.5882
2010-07-05	0.2472	0.2237	0.0103	0.065	3.4105	0	0	0	0.0228	0	3.9795
2010-07-19	0.7889	0.2499	0.0168	0.0305	0.8427	0	0	0	0	0	1.9288
2010-08-03	1.1913	0.0119	0.0021	0.0048	0.737	0	0	0	0	0	1.9471
2010-08-16	0.105	0.0598	0.0034	0.0144	2.118	0	0	0	0	0	2.3006
2010-08-30	0.1078	0.0462	0.0504	0.0322	1.1817	0	0	0	0	0	1.4183
2010-10-05	0.8408	0.0214	0.0069	0.0644	2.3522	0	0	0	0	0	3.2857
2010-11-09	3.0728	0.0019	0.0065	0.0415	0.9451	0	0	0	0	0	4.0678
2011-01-19	0	0.00351427	0.00977647	0.03496343	0.066825	0	0	0.00094602	0	0	0.11602519
2011-04-18	2.08631366	0.04348732	0.03262307	0.1618586	0.0310521	0	0	0.00177379	0.02128552	0	2.37839406
2011-05-02	6.13423701	0.1135468	0.02867785	0.1632998	0.07410241	0	0	0.00266069	0.05903866	0	6.57556322
2011-05-17	1.04978039	0.03205729	0.01947841	0.05342663	0.04725068	0	0	0.00266069	0	0	1.20465409
2011-05-31	0.35111457	0.00314897	0.00021067	0.01165973	0.01631941	0	0	0	0	0	0.38245335
2011-06-13	0.00021285	0.01565574	0.0004956	0.00649208	0.7414449	0	0	0	0	0	0.76430117
2011-06-27	0.00113523	0.02269761	0	0.00384449	0.66036887	0	0	0	0	0	0.6880462
2011-07-11	0	0.01780586	0.01556507	0.00539233	4.64344444	0	0	0	0	0	4.6822077
2011-07-25	0.05629356	84.73158506	0.01138971	0.02116135	19.99058281	0	0	0	0.00141903	0	104.8124315
2011-08-04	0	0.01280944	0.00222185	0.00648965	0.42620634	0	0	0	0	0	0.44772728
2011-08-22	0	0.00517847	0.01035342	0.04789241	0.98139699	0	0	0	0	0	1.04482129
2011-09-12	0	0.00417264	0.01350302	0.11762462	0.70112522	0	0	0	0	0	0.8364255
2011-10-03	0.00599937	0.11465048	0.00256136	0.13099461	0.71933365	0	0	0	0	0	0.97353947
2011-10-31	13.4223805	0.00166738	0.00608057	0.00943658	0.58873415	0	0	0	0	0	14.02829918
2012-02-22	0.69372565	0.10391566	0.06885541	0.11667124	0.26092136	0	0	0	0.12877738	0	1.3728667
2012-03-21	0.73634581	0.60045306	0.10665386	0.19430426	0.29426513	0	0	0	0.04700552	0	1.97902764
2012-04-04	1.29756811	0.30068647	0.06276464	0.13630987	0.38906725	0	0	0	0	0	2.18639634
2012-04-17	0.00101272	0.01799424	0.00842879	0.01471243	0.00998835	0	0	0	0	0	0.05213653
2012-05-01	0.00017162	0.00131504	0.00212925	0.00684063	0.01337673	0	0	0.00013426	0.00035121	0	0.02431874
2012-05-14	0.00193851	0.01210567	0.00573975	0.08316555	0.02024387	0	0	0	0	0	0.12319335
2012-05-29	0.00132322	0.03636418	0.00427612	0.0161035	0.04762586	0	0	0	0	0	0.10569288
2012-06-11	0	0.81926383	0.01239751	0.05010965	0.46257669	0	0	0	0	0	1.34434768
2012-06-25	0	0.04478948	0.00906732	0.00212855	1.51513718	0	0	0.00192102	0	0	1.57304355
2012-07-10	0	0.02497008	0.00661936	0.00228443	0.6949682	0	0	0	0	0	0.72884207
2012-07-23	0.01662931	0.01768714	0.00760071	0.0042571	0.85438666	0	0	0.00549885	0.00319283	0	0.9092526
2012-08-06	0.00152703	0.05046968	0.01624709	0.00740692	0.45484339	0	0	0	0	0	0.53049411
2012-08-20	0.06771593	0.01219304	0.01144275	0.09280485	0.42013649	0	0	0	0	0	0.60429306
2012-09-04	0.01294369	0.03196442	0.01622446	0.08179402	0.33060901	0	0	0	0	0	0.4735356
2012-10-01	7.98206779	0.14680436	0.04372018	0.29440531	0.39088633	0	0	0	0	0	8.85788397
2012-10-29	1.59304141	0.02162079	0.01218155	0.03782614	0.17233857	0	0	0	0	0	1.83700846
2012-11-29	0.633488	0.00740523	0.00071839	0.02884018	2.12948799	0	0.0014389	0	0	0	2.80137869
2013-02-12	1.17848591	0.04826129	0.00119731	0.05073046	0.00933643	0	0.00192102	0	0	0	1.28993242
2013-04-29	1.196991	0.18533223	0.00465123	0.10168089	0.01851154	0	0.00051227	0	0.0643532	0	1.57203236
2013-05-14	0.1012786	0.01732521	0.00300658	0.13072851	0.07329335	0	0.09067215	0	0.05576806	0	0.47207246
2013-05-28	0.00514045	0.01563718	3.99E-05	0.00980287	0.12694923	0	0.00064034	0	0	0	0.15820998
2013-06-10	0	0.07954006	0	0.02540294	0.02288511	0	0.00012807	0	0	0	0.12795618
2013-06-24	0	0.29226875	0.00523269	0.01643715	0.61503069	0	0.00554961	0	0	0	0.93451889
2013-07-08	0.20440469	0.06056642	0.00059866	0.19872018	3.94618925	0	0.00192102	0.01104186	0.01277131	0	4.43621339
2013-07-22	0.52377495	0.10077773	0.00277155	0.03547584	4.16521527	0	0.1088578	0	0.03912202	0	4.97599516
2013-08-05	0.0046562	0.08711295	0	0.04257101	3.19355711	0	0.00512272	0	0	0	3.33301999
2013-08-21	0.04257103	0.02235783	0	0.00141903	0.92464276	0	0.06787604	0	0	0	1.05886669
2013-09-04	0.05200081	0.0087406	0	0.08514206	1.55629082	0	0.08110974	0	0	0	1.78328403
2013-09-30	0.23666884	0.19812277	0	0.08277696	0.96118097	0	0.02988253	0.02771551	0	0	1.53634758
2013-10-29	4.77344649	0.08562006	0.02058191	0.1139662	0.05593606	0	0.05336167	0	0	0	5.10291239
2013-12-02	3.6296417	0.07875099	0.00971152	0.03590157	0.02514581	0	0.01690498	0	0	0	3.79605657
2014-02-03	0.03693924	0.01899168	0.01019532	0.0854377	0.00935307	0	0.00213447	0	0.00221724	0	0.16526872
2014-04-29	0.87231232	0.07355037	0.00955898	0.0265182	0.01812653	0	0.08879382	0.01612042	0.02535223	0	1.13033287
2014-05-14	1.23400287	0.19206697	0.02365056	0.22741494	0.03191297	0	0.53361668	0	0.02808506	0	2.27075005
2014-05-28	0.01407948	0.24549357	0.00277155	0.44750955	0.10296449	0	0.34151468	0	0.00341455	0	1.15774787
2014-06-09	0	0.18508821	0.00017104	0.00283807	13.22583074	0	0.00219545	0	0	0	13.41612351
2014-06-23	0	0.08487586	0	0.00035476	7.70690756	0	0.00032017	0.00111882	0	0	7.79357717
2014-07-07	0	0.13932915	0	0.01241654	9.73794167	0	0	0	0	0	9.88968736
2014-07-21	1.73221975	0.01529063	0.00831465	0.03074573	7.03208408	0	0	0	0	0	8.81865484
2014-08-04	0	0.02868959	0	0.03600799	0.436661	0	0.01792952	0	0	0	0.5192881
2014-08-20	0.20218577	0.03746054	0.00606046	0.0496662	1.86643421	0	0.0032017	0	0	0	2.16500888
2014-09-02	0.15066155	0.03290007	0.02290056	0.0085142	2.80274609	0	0.02305224	0	0	0	3.04077471
2014-09-28	0.16004425	0.47638054	0.00665172	0.19671365	1.38397939	0.01383558	0.0608323	0	0.05080054	0.05174529	2.40098326
2014-10-30	1.96710789	0.147158	0.01316487	0.09726297	0.41735497	0	0.00160085	0	0	0.01141189	2.65506144
2015-02-11	0	0.03573513	0.0026607	0.13314087	0.43409194	0	0.0384204	0	0.0019157	0	0.64596474
2015-04-10	1.72452705	0.11410652	0	0.11733641	0.06340496	0	0.1152612	0	0.03990203	0	2.17453817
2015-04-24	0.0647171	0.12533829	0.00299328	0.47040983	0.10332489	0	0.27374536	0	0.08700453	0	1.12753328
2015-05-01	0.12910288	0.19250067	0	0.17873916	0.06249681	0	0.1760935	0	0.06385655	0	0.80278957
2015-05-13	0.81237201	0.52526401	0.02075338	0.18651427	0.26634728	0	0.73959272	0	0.06226012	0	2.61310379
2015-05-27	0.00059866	0.02885892	8.87E-05	0.18961844	0.5414066	0	0.00256136	0	0.00053214	0	0.76366481
2015-06-08	0	0.00390856	0	0.00255426	5.94667358	0	0	0	0	0	5.9531364
2015-06-23	0	0.09749385	0.00029933	0.00270504	9.72705021	0	0	0	0	0	9.82754843
2015-07-08	0.06714694	0.08003211	0.00224496	0.0382474	10.16560805	0	0.00288153	0	0.02106225	0	10.37722324
2015-07-20	0.06614422	0.08766327	0.12930948	0.06585204	8.58655688	0	0.04034142	0	0.08424898	0	9.06011629
2015-08-03	0.05238234	0.26781963	0.41829363	0.11228107	3.87707502	0	0.00768408	0	0.06416115	0	4.79969692
2015-08-18	0.0116239	0.04688072	0.00053214	0.05427806	1.47423168	0	0.0192102	0	0.0061462	0	1.6129029
2015-08-31	0.23387462	0.33308227	0	0.02554261	1.67441206	0	0.02689428	0	0	0	2.29380584
2015-10-07	0.65472918	0.1560116	0.01243873	0.11558033	12.38163671	0	0.01056561	0	0	0	13.33096216
2015-11-02	2.84943625	0.1337242	0.00047893	0.12686168	1.02526488	0	0.00461045	0	0.0061728	0	4.14654919
2016-01-27	0.24215901	0.00746605	0.01619475	0.05580351	1.30547321	0	0.01126998	0.00957848	0.01880575	0	1.66675074
2016-03-28	1.07352466	0.10001752	0.01648298	0.25442836	0.74949436	0	0.0768408	0	0.05227145	0	2.32306013
2016-04-12	0.35372259	0.12876843	0.00359194	0.09956298	0.52003196	0	0.07299876	0	0.03038507	0	1.20906173
2016-04-25	0.00156781	0.25896247	0.02171126	0.12239166	0.62863451	0	0.39380911	0.03133703	0.01629673	0	1.47471058
2016-05-11	0.02092776	0.85897541	0.00136836	0.01417344	0.03683021	0	0.00085379	0.00024394	0	0	0.93337291
2016-05-23	0.0001419	1.96100128	0.00256815	0.02057601	0.06319756	0	0.00085379	0	0	0	2.04833869
2016-06-07	0.02838069	0.62312511	0.00211969	0.01312607	0.40995496	0	0.00034151	0	0	0	1.07704803
2016-06-20	0	0.01312225	0.0020953	0.04186151	0.81044628	0	0	0	0	0	0.86752534
2016-07-05	0	0.14696389	0.00866588	0.13432047	0.63805431	0	0.00576306	0.03192828	0.01277131	0	0.9784672
2016-07-18	0.04314754	0.14356109	0.00576475	0.09408493	1.00395963	0	0.0928493	0.00872115	0	0	1.39208839
2016-08-01	0.16899155	0.15834282	0.00476707	0.05794389	0.49590554	0	0.1312697	0	0.00591264	0	1.02313321
2016-08-15	0.05426068	0.0443474	0.00448992	0.01241655	1.79720093	0.02075338	0.0384204	0	0.02792595	0	1.99981521
2016-08-30	0.04111796	0.01731584	0.00089798	0.00638565	0.95286115	0	0.00576306	0	0.10330887	0	1.12765051
2016-10-04	0.10190441	0.06333273	0.01419034	0.18278936	0.5731406	0	0.02177156	0	0.12815097	0	1.08527997
2016-11-09	0.23613315	0.23140136	0.00399103	0.00085142	1.75795952	0	0.00307363	0	0.01322735	0	2.24663746
2017-02-06	1.12728945	0.00595426	0.00731691	0.11207302	0.61494977	0	0.00051227	0	0	0	1.86809568
2017-04-17	0.38051163	0.08670786	0.00966008	0.50606298	0.58107572	0	0.064034	0.01995517	0.02057599	0	1.66858343
2017-05-03	0.75674063	0.25912056	0.03819875	0.20487298	0.24489243	0	0.1248663	0.05321379	0.00798207	0	1.68988751
2017-05-15	0.42651403	0.09442583	0	0.3477519	0.19163247	0	0.43222951	0.03194158	0.01436772	0	1.53886304
2017-05-30	0.00327664	0.02072624	2.13E-05	0.01137179	0.36408299	0	0.0003842	0.00127766	0	0	0.40114081
2017-06-12	0.0008869	0.04204977	0.00049272	0.02601561	12.62116713	0	0.01138382	0	0	0	12.70199595
2017-06-26	0	0.05765804	0.01529899	0.01560937	2.1215555	0	0	0	0	0	2.2101219
2017-07-10	3.33164107	0.10657094	0	0.17454112	2.1472842	0	0	0	0	0	5.76003733
2017-07-24	1.54954294	0.66406222	0	0.0340568	2.3461442	0	0.096051	0	0.06704938	0	4.75690654
