Date	pH	Dissolved inorganic carbon	Total inorganic carbon	Dissolved organic carbon	Total organic carbon	Nitrate plus nitrite	Ammonium	Total phosphorus	Soluble reactive phosphorus
2006-04-17	8.39	42.11	42.06	4.61	4.6	0.348	0.406	0.136	0.114
2006-05-02	NA	NA	NA	NA	NA	0.366	0.306	0.114	0.097
2006-05-15	8.44	45.83	45.18	4.76	4.83	0.369	0.347	0.12	0.105
2006-05-30	NA	NA	NA	NA	NA	0.362	0.263	0.096	0.087
2006-06-12	8.83	41.15	41.42	5.39	5.24	0.313	0.108	0.081	0.053
2006-06-26	NA	NA	NA	NA	NA	0.128	0.071	0.058	0.018
2006-07-10	9.2	46.49	42.95	6.13	6.13	0.052	0.036	0.04	0.005
2006-07-24	NA	NA	NA	NA	NA	0.027	0	0.065	0
2006-08-07	8.99	45.51	35.65	5.98	5.67	0	0	0.031	0
2006-08-21	NA	NA	NA	NA	NA	0	0	0.02	0.002
2006-09-06	8.85	37.09	37.3	5.23	6	0	0	0.031	0.004
2006-10-02	8.45	39.05	40.04	5.1	5.37	0	0.094	0.09	0.053
2006-10-30	8.17	44.21	47.66	5.43	5.04	0.036	0.328	0.15	0.12
2006-11-27	8.22	44.04	44.5	5.05	5	0.111	0.342	0.13	0.113
2007-01-03	8.16	43.88	44.4	5.22	5.17	0.255	0.367	0.13	0.115
2007-02-19	8.19	48.22	48.74	5.03	4.98	0.301	0.323	0.123	0.109
2007-04-02	NA	NA	NA	NA	NA	0.45	0.295	0.133	0.104
2007-04-16	8.25	40.22	42.85	4.74	5	0.493	0.192	0.124	0.092
2007-04-30	NA	NA	NA	NA	NA	0.497	0.065	0.089	0.055
2007-05-14	8.49	42.59	44.36	4.96	5.06	0.501	0.149	0.08	0.058
2007-05-29	NA	NA	NA	NA	NA	0.476	0.146	0.078	0.063
2007-06-11	8.61	42.14	43.47	5.09	5.06	0.439	0.091	0.074	0.049
2007-06-25	NA	NA	NA	NA	NA	0.311	0	0.05	0.021
2007-07-09	9.08	37.15	36.83	5.55	5.42	0	0	0.031	0.003
2007-07-23	NA	NA	NA	NA	NA	0	0	0.031	0
2007-08-06	8.86	33.04	31.78	5.34	5.44	0	0	0.023	0
2007-08-20	NA	NA	NA	NA	NA	0	0.044	0.026	0.002
2007-09-04	8.83	35.55	36.07	5.26	5.45	0	0	0.028	0
2007-10-01	8.56	38.18	39.22	5.33	5.36	0	0.044	0.056	0.025
2007-10-29	8.19	42.65	42.22	5.04	5.29	0.057	0.443	0.143	0.116
2007-11-26	8.14	45.12	45.08	5.19	5.12	0.159	0.556	0.145	0.126
2008-02-13	8.5	44.88	45.36	5.3	5.31	0.439	0.417	0.143	0.118
2008-04-14	8.51	41.95	43.01	4.96	5.18	0.975	0	0.137	0.026
2008-04-28	NA	NA	NA	NA	NA	0.805	0.04	0.041	0.009
2008-05-12	8.71	NA	NA	NA	NA	0.788	0.083	0.054	0.033
2008-05-28	NA	NA	NA	NA	NA	0.792	0.178	0.074	0.064
2008-06-09	8.66	NA	NA	NA	NA	0.767	0.193	0.079	0.062
2008-06-23	NA	NA	NA	NA	NA	0.828	0.072	0.1	0.056
2008-07-07	9.18	39.64	40.06	5.55	5.4	0.511	0.028	0.065	0.024
2008-07-21	NA	NA	NA	NA	NA	0.301	0	0.052	0.006
2008-08-04	9.05	32.33	32.72	5.48	5.91	0.025	0	0.048	0
2008-08-18	NA	NA	NA	NA	NA	0	0	0.036	0
2008-09-05	8.95	NA	NA	NA	NA	0.03	0	0.028	0.003
2008-09-29	8.93	37.86	36.91	5.29	5.36	0	0	0.04	0
2008-10-29	8.34	43.78	43.36	4.6	4.65	0.107	0.608	0.156	0.127
2009-01-21	8.33	49.63	49.73	5.07	5.17	0.565	0.556	0.15	0.128
2009-04-15	8.4	4.72	44.29	4.77	41.77	1.46	0.093	0.171	0.134
2009-04-27	NA	NA	NA	NA	NA	1.46	0.066	0.207	0.114
2009-05-11	8.66	37.97	37.04	4.46	4.46	1.43	0.136	0.136	0.113
2009-05-28	NA	NA	NA	NA	NA	1.34	0.18	0.147	0.118
2009-06-09	8.35	47.15	47.58	4.78	4.78	1.29	0.15	0.113	0.086
2009-06-23	NA	NA	NA	NA	NA	1.15	0.089	0.104	0.08
2009-07-06	8.84	34.16	34.75	5.09	5.29	0.941	0	0.094	0.044
2009-07-20	NA	NA	NA	NA	NA	0.656	0	0.076	0.03
2009-08-05	9.04	38.2	36.32	5.11	5.37	0.038	0	0.07	0
2009-08-19	NA	NA	NA	NA	NA	0	0	0.048	0
2009-09-02	9.01	34.7	33.27	4.79	5.09	0	0	0.063	0
2009-09-30	8.64	40.5	37.6	5.73	5.33	0.025	0.334	0.074	0.033
2009-10-28	8.23	42.01	44.54	5.18	5.36	0.092	0.662	0.162	0.138
2009-12-03	NA	40.54	45.04	5.31	4.84	0.283	0.619	0.149	0.128
2010-02-01	8.42	40.66	40.22	5.41	5.19	0.653	0.369	0.136	0.109
2010-03-29	NA	NA	NA	NA	NA	0.802	0	0.125	0.014
2010-04-13	8.76	43.59	42.46	6	6.56	0.822	0.032	0.067	0.023
2010-04-26	NA	NA	NA	NA	NA	0.643	0.076	0.069	0.013
2010-05-10	8.83	40.26	41.09	4.7	4.68	0.639	0.121	0.064	0.028
2010-05-24	NA	NA	NA	NA	NA	0.639	0.199	0.07	0.045
2010-06-07	9.01	40	40.62	6.01	5.41	0.444	0.042	0.045	0
2010-06-21	NA	NA	NA	NA	NA	0.328	0.042	0.035	0
2010-07-05	9.02	NA	NA	NA	NA	0.087	0.023	0.041	0
2010-07-19	NA	NA	NA	NA	NA	0	0	0.043	0
2010-08-03	9.03	31.97	32.03	4.46	4.44	0	0	0.031	0
2010-08-16	NA	NA	NA	NA	NA	0	0	0.033	0
2010-08-30	8.99	34.33	34.89	4.71	4.83	0	0	0.029	0
2010-10-05	8.72	40.42	43.7	4.22	4.57	0	0.18	0.064	0.02
2010-11-09	8.58	38.63	39.53	38.54	40.11	0.122	0.484	0.096	0.062
2011-01-19	8.28	NA	41.12	NA	4.49	0.33	0.591	0.082	0.069
2011-04-18	8.06	42.34	45.45	3.96	4.01	0.907	0.022	0.067	0.01
2011-05-02	NA	NA	NA	NA	NA	0.86	0.047	0.079	0.02
2011-05-17	8.35	44.4	47.55	4.27	4.3	0.831	0.112	0.075	0.033
2011-05-31	NA	NA	NA	NA	NA	0.783	0.232	0.073	0.054
2011-06-13	8.48	40.1	41.41	4.26	4.34	0.767	0.167	0.067	0.044
2011-07-11	8.89	NA	NA	8.9	8.78	0.382	0.021	0.027	0
2011-07-25	NA	NA	NA	NA	NA	0.094	0.023	0.022	0
2011-08-04	8.72	NA	NA	NA	NA	0.118	0.054	0.017	0.004
2011-08-22	NA	NA	NA	NA	NA	0.073	0	0.02	0
2011-09-12	8.76	NA	NA	NA	NA	0.058	0	0.021	0
2011-10-03	8.18	NA	NA	NA	NA	0.066	0.338	0.085	0.042
2011-10-31	8.2	NA	NA	NA	NA	0.072	0.519	0.113	0.069
2012-02-22	7.86	NA	NA	NA	NA	0.481	0.252	0.077	0.03
2012-02-28	NA	39.03	41.81	4.49	4.84	NA	NA	NA	NA
2012-03-21	NA	NA	NA	NA	NA	0.627	0.095	0.074	0.012
2012-04-04	NA	NA	NA	NA	NA	0.623	0.098	0.058	0.014
2012-04-17	8.24	38.66	41.31	4.51	4.71	0.612	0.198	0.063	0.033
2012-05-01	NA	NA	NA	NA	NA	0.603	0.287	0.067	0.049
2012-05-14	8.3	NA	NA	NA	NA	0.602	0.24	0.083	0.039
2012-05-29	NA	NA	NA	NA	NA	0.54	0.186	0.055	0.027
2012-06-11	8.71	50.37	49.39	4.65	4.55	0.476	0.057	0.041	0.011
2012-06-25	NA	NA	NA	NA	NA	0.171	0.018	0.036	0
2012-07-10	8.66	38.89	41.85	4.68	4.73	0	0	0.019	0
2012-07-23	NA	NA	NA	NA	NA	0	0	0.02	0
2012-08-06	8.85	35.41	38.43	4.81	5.28	0	0	0.02	0
2012-08-20	NA	NA	NA	NA	NA	0	0	0.019	0
2012-09-04	8.77	36.93	36.9	4.91	4.92	0	0	0.017	0
2012-10-01	8.44	40.97	39.6	4.99	4.3	0	0	0.033	0
2012-10-29	8.57	46.82	44.83	5.29	4.88	0.048	0.362	0.064	0.035
2012-11-29	8.63	37.41	39.2	4.99	4.59	0.089	0.428	0.093	0.038
2013-02-12	NA	44	47	5	5	NA	NA	NA	NA
2013-04-29	8.51	38.72	38.66	6.57	5.66	0.57	0.13	0.07	0.02
2013-05-14	8.72	49.81	37.44	5.78	5.75	0.52	0.14	0.07	0.02
2013-05-28	NA	NA	NA	NA	NA	0.52	0.17	0.06	0.02
2013-06-10	8.3	38.18	48.73	3.62	4.76	0.51	0.19	0.04	0.02
2013-06-24	NA	NA	NA	NA	NA	0.4	0.03	0.04	0
2013-07-08	8.94	37.18	41.41	4.98	4.24	0.2	0.03	0.03	0
2013-07-22	NA	NA	NA	NA	NA	0.02	0	0.03	0
2013-08-05	8.71	37.38	39.44	5.09	4.69	0.02	0.04	0.03	0
2013-08-21	NA	NA	NA	NA	NA	0	0	0.02	0
2013-09-04	8.71	37.83	23.2	6.26	6.38	0	0	0.02	0
2013-09-30	8.65	36.93	24.7	3.87	4.25	0	0	0.03	0
2013-10-29	8.13	31.91	35.87	4.52	3.34	0.03	0.38	0.09	0.05
2013-12-02	8.57	46.12	46.21	5.19	4.91	0.13	0.47	0.08	0.06
2014-02-03	7.88	44.81	43.95	5.27	5.2	0.45	0.2	0.07	0.05
2014-04-29	8.02	45.84	47.9	4.94	4.79	0.75	0.1	0.09	0.04
2014-05-14	8.21	38.08	41.69	4.57	4.67	0.71	0	0.08	0.02
2014-06-09	8.39	41.81	42.83	4.97	5.04	0.4	0.05	0.04	0.01
2014-06-23	NA	NA	NA	NA	NA	0.25	0.07	0.03	0
2014-07-07	8.91	35.35	36.2	4.74	4.85	0.11	0.02	0.04	0
2014-07-21	NA	NA	NA	NA	NA	0	0.03	0.03	0
2014-08-04	8.85	35.88	35.98	4.74	5.06	0	0	0.03	0
2014-08-20	NA	NA	NA	NA	NA	0	0	0.03	0
2014-09-02	8.79	36.95	35.24	4.81	4.9	0	0	0.02	0
2014-09-28	8.78	35.89	39.12	4.44	4.53	NA	NA	NA	NA
2014-10-30	8.16	32.21	53.68	4.16	4.75	0.04	0.38	0.09	0.06
2015-02-11	8.14	45.12	46.22	4.39	4.57	0.394	0.279	0.092	0.067
2015-04-10	NA	NA	NA	NA	NA	0.715	0	0.108	0.029
2015-04-24	8.34	36.54	53.5	4.63	4.69	0.629	0.031	0.092	0.033
2015-05-01	NA	NA	NA	NA	NA	0.58	0	0.078	0.026
2015-05-13	8.69	37.37	54.89	4.57	4.93	0.298	0.037	0.075	0.003
2015-05-27	NA	NA	NA	NA	NA	0.219	0.144	0.057	0.019
2015-06-08	8.58	43.22	43.24	5.66	5.91	0.256	0.099	0.049	0.025
2015-06-23	NA	NA	NA	NA	NA	0.105	0.041	0.054	0.004
2015-07-08	8.89	39.24	39.95	5.28	5.37	0	0	0.039	0
2015-07-20	NA	NA	NA	NA	NA	0	0	0.04	0
2015-08-03	8.97	33.92	34.96	5.56	5.28	0	0	0.028	0
2015-08-18	NA	NA	NA	NA	NA	0	0.026	0.022	0.003
2015-08-31	8.68	38.16	38.31	5.1	5.62	0	0	0.026	0.002
2015-10-07	8.42	39.19	39.37	5	4.94	0	0.103	0.041	0.006
2015-11-02	8.07	41.73	41.95	4.54	4.65	0	0.479	0.098	0.058
2016-01-27	8.36	42.82	43.01	5.28	4.89	0.308	0.481	0.081	0.053
2016-03-28	NA	NA	NA	NA	NA	0.65	0.037	0.089	0.01
2016-04-12	8.45	42.92	43.95	4.51	4.49	0.646	0.045	0.07	0.011
2016-04-25	NA	NA	NA	NA	NA	0.541	0.032	0.054	0.002
2016-05-11	8.49	45.58	45.76	4.62	4.79	0.564	0.18	0.058	0.027
2016-05-23	NA	NA	NA	NA	NA	0.521	0.125	0.055	0.018
2016-06-07	8.85	42.87	43.19	4.88	4.94	0.338	0.047	0.049	0
2016-06-20	NA	NA	NA	NA	NA	0.32	0.043	0.024	0
2016-07-05	8.9	39.59	39.58	4.69	5.02	0.035	0.022	0.028	0
2016-07-18	NA	NA	NA	NA	NA	0	0	0.023	0
2016-08-01	8.81	38.07	38.55	4.61	4.93	0	0	0.021	0.002
2016-08-15	NA	NA	NA	NA	NA	0	0	0.014	0
2016-08-30	8.76	36.76	37.45	4.27	4.44	0	0	0.022	0.003
2016-10-04	8.51	40.19	40.88	4.28	4.63	0	0.106	0.035	0.005
2016-11-09	8.21	43.01	42.83	4.57	4.63	0.035	0.366	0.086	0.05
2017-02-06	8.64	49.61	49.98	4.6	4.38	0.288	0.404	0.097	0.055
2017-04-17	8.67	45.64	46.92	4.63	4.64	0.666	0.122	0.104	0.03
2017-05-03	NA	NA	NA	NA	NA	0.653	0.174	0.093	0.038
2017-05-15	8.94	44.62	45.54	4.78	4.72	0.61	0.09	0.072	0.023
2017-05-30	NA	NA	NA	NA	NA	0.599	0.273	0.093	0.049
2017-06-12	9.05	43.81	43.64	6.14	6.41	0.537	0.035	0.055	0.018
2017-06-26	NA	NA	NA	NA	NA	0.426	0.186	0.066	0.021
2017-07-10	9.25	39.73	40.12	5	5.44	0	0.015	0.047	0
2017-07-24	NA	NA	NA	NA	NA	0	0.02	0.046	0.004
2017-08-07	9.06	38.26	38.55	4.99	5.17	0	0.019	0.048	0.002
2017-08-23	NA	NA	NA	NA	NA	0	0	0.033	0.003
2017-09-06	9.17	38.7	39.16	4.58	4.91	0	0	0.029	0
2017-09-25	NA	NA	NA	NA	NA	0	0.019	0.023	0
2017-10-04	9.02	40.31	40.34	5.06	5.08	0	0.042	0.102	0
2017-11-02	8.44	45.66	46.05	4.55	4.54	0.094	0.632	0.101	0.083
2017-12-19	8.58	49.3	49.48	4.75	4.66	0.312	0.71	0.131	0.099
2018-01-23	8.63	46.96	47.08	4.68	4.85	0.363	0.649	0.116	0.085
2018-04-05	NA	NA	NA	NA	NA	0.687	0.49	0.16	0.083
2018-05-07	NA	NA	NA	NA	NA	0.698	0.081	0.101	0.035
2018-05-14	8.83	44.75	45.35	4.88	5	0.632	0.197	0.099	0.049
2018-05-29	NA	NA	NA	NA	NA	0.609	0.227	0.08	0.053
2018-06-11	9.12	43.16	43.27	5.86	6.05	0.424	0.195	0.056	0.023
2018-06-25	NA	NA	NA	NA	NA	0.417	0.173	0.068	0.029
2018-07-09	9.37	37.81	36.86	5.93	6.21	0	0	0.041	0
2018-07-23	NA	NA	NA	NA	NA	0	0.017	0.038	0
2018-08-06	9.29	34.18	35.09	5.19	5.19	0	0	0.019	0
2018-08-22	NA	NA	NA	NA	NA	0	0	0.025	0
2018-09-04	9.12	35	35.15	5.72	5.89	0	0	0.028	0
2018-09-19	NA	NA	NA	NA	NA	0	0	0.034	0
2018-10-02	8.91	39.8	40.22	4.72	4.82	0	0.092	0.041	0.006
2018-10-18	NA	NA	NA	NA	NA	0.097	0.242	0.083	0.033
2018-10-29	8.38	44.63	44.89	4.76	4.7	0.118	0.448	0.121	0.098
2018-11-14	NA	NA	NA	NA	NA	0.227	0.511	0.13	0.106
2018-11-30	8.54	43.94	44.2	2.69	4.59	0.368	0.496	0.129	0.11
2019-02-21	8.45	46.27	46.04	4.76	4.7	0.953	0.18	0.128	0.102
2019-04-15	8.64	38.27	38.81	4.55	4.53	1.33	0	0.16	0.076
2019-04-29	NA	NA	NA	NA	NA	1.17	0.026	0.118	0.074
2019-05-12	9.02	42.71	42.9	4.64	4.69	NA	NA	NA	NA
2019-05-13	NA	NA	NA	NA	NA	1.17	0.021	0.104	0.064
2019-05-28	NA	NA	NA	NA	NA	1.07	0.133	0.101	0.085
2019-06-11	8.91	42.43	42.12	4.91	4.96	1.03	0.081	0.097	0.074
2019-06-24	NA	NA	NA	NA	NA	0.958	0.103	0.098	0.079
2019-07-08	9.16	36.53	36.82	5.03	5.03	0.701	0.03	0.061	0.039
2019-07-22	NA	NA	NA	NA	NA	0.153	0	0.051	0
2019-08-05	9.51	31.68	34.27	4.56	4.44	0	0	0.041	0.005
2019-08-21	NA	NA	NA	NA	NA	0	0	0.051	0
2019-09-04	9.32	37.06	38.1	4.61	6.65	0	0	0.051	0.005
2019-10-04	9	39.02	38.9	4.84	5.01	0.083	0.18	0.097	0.043
2019-10-28	8.5	42.1	42.39	4.41	4.4	0.132	0.658	0.156	0.13
2019-11-20	NA	NA	NA	NA	NA	0.292	0.725	0.164	0.141
