Date	Date in text	species_name	density
2000/7/31	2000-07-31	MESOCYCLOPS EDAX	40012
2000/7/31	2000-07-31	DIAPTOMID	204347
2000/7/31	2000-07-31	AGLAODIAPTOMUS CLAVIPES	11318
2000/7/31	2000-07-31	CHYDORUS	41970
2000/7/31	2000-07-31	DAPHNIA RETROCURVA	4244
2000/7/31	2000-07-31	DAPHNIA PULICARIA	9431
2000/7/31	2000-07-31	DIAPHANOSOMA BIRGEI	943
2000/7/31	2000-07-31	LEPTODORA KINDTI	184
2000/8/16	2000-08-16	COPEPOD NAUPLII	283580
2000/8/16	2000-08-16	CYCLOPOID	30000
2000/8/16	2000-08-16	ACANTHOCYCLOPS	1500
2000/8/16	2000-08-16	DIACYCLOPS THOMASI	32260
2000/8/16	2000-08-16	MESOCYCLOPS EDAX	21760
2000/8/16	2000-08-16	DIAPTOMID	225060
2000/8/16	2000-08-16	AGLAODIAPTOMUS CLAVIPES	7920
2000/8/16	2000-08-16	CHYDORUS	8660
2000/8/16	2000-08-16	DAPHNIA MENDOTAE	980
2000/8/16	2000-08-16	DAPHNIA PULICARIA	12880
2000/8/16	2000-08-16	DIAPHANOSOMA BIRGEI	500
2000/8/16	2000-08-16	LEPTODORA KINDTI	140
2000/8/28	2000-08-28	COPEPOD NAUPLII	19540
2000/8/28	2000-08-28	CYCLOPOID	16140
2000/8/28	2000-08-28	ACANTHOCYCLOPS	2540
2000/8/28	2000-08-28	DIACYCLOPS THOMASI	33980
2000/8/28	2000-08-28	MESOCYCLOPS EDAX	20400
2000/8/28	2000-08-28	DIAPTOMID	220060
2000/8/28	2000-08-28	AGLAODIAPTOMUS CLAVIPES	5100
2000/8/28	2000-08-28	CHYDORUS	840
2000/8/28	2000-08-28	DAPHNIA MENDOTAE	1980
2000/8/28	2000-08-28	DAPHNIA PULICARIA	3400
2000/8/28	2000-08-28	DIAPHANOSOMA BIRGEI	560
2000/8/28	2000-08-28	LEPTODORA KINDTI	60
2000/9/25	2000-09-25	COPEPOD NAUPLII	54520
2000/9/25	2000-09-25	CYCLOPOID	8920
2000/9/25	2000-09-25	DIACYCLOPS THOMASI	81280
2000/9/25	2000-09-25	MESOCYCLOPS EDAX	15860
2000/9/25	2000-09-25	DIAPTOMID	664160
2000/9/25	2000-09-25	AGLAODIAPTOMUS CLAVIPES	10560
2000/9/25	2000-09-25	CHYDORUS	340
2000/9/25	2000-09-25	DAPHNIA MENDOTAE	15200
2000/9/25	2000-09-25	DAPHNIA PULICARIA	2640
2000/9/25	2000-09-25	DIAPHANOSOMA BIRGEI	75600
2000/9/25	2000-09-25	LEPTODORA KINDTI	80
2000/9/25	2000-09-25	SINOBOSMINA FRYEI	340
2000/10/24	2000-10-24	COPEPOD NAUPLII	8580
2000/10/24	2000-10-24	CYCLOPOID	1420
2000/10/24	2000-10-24	DIACYCLOPS THOMASI	137180
2000/10/24	2000-10-24	MESOCYCLOPS EDAX	4280
2000/10/24	2000-10-24	DIAPTOMID	830240
2000/10/24	2000-10-24	AGLAODIAPTOMUS CLAVIPES	16980
2000/10/24	2000-10-24	CHYDORUS	480
2000/10/24	2000-10-24	DAPHNIA MENDOTAE	195700
2000/10/24	2000-10-24	DAPHNIA PULICARIA	23580
2000/11/28	2000-11-28	DIACYCLOPS THOMASI	99020
2000/11/28	2000-11-28	DIAPTOMID	392120
2000/11/28	2000-11-28	AGLAODIAPTOMUS CLAVIPES	44560
2000/11/28	2000-11-28	HARPACTICOID	660
2000/11/28	2000-11-28	DAPHNIA MENDOTAE	56120
2000/11/28	2000-11-28	DAPHNIA PULICARIA	24760
2000/11/28	2000-11-28	SINOBOSMINA FRYEI	340
2001/1/17	2001-01-17	DIACYCLOPS THOMASI	88820
2001/1/17	2001-01-17	DIAPTOMID	84880
2001/1/17	2001-01-17	AGLAODIAPTOMUS CLAVIPES	28780
2001/1/17	2001-01-17	DAPHNIA MENDOTAE	30360
2001/1/17	2001-01-17	DAPHNIA PULICARIA	7260
2001/3/7	2001-03-07	COPEPOD NAUPLII	720
2001/3/7	2001-03-07	DIACYCLOPS THOMASI	55020
2001/3/7	2001-03-07	DIAPTOMID	36440
2001/3/7	2001-03-07	AGLAODIAPTOMUS CLAVIPES	24760
2001/3/7	2001-03-07	DAPHNIA MENDOTAE	6140
2001/3/7	2001-03-07	DAPHNIA PARVULA	240
2001/3/7	2001-03-07	DAPHNIA PULICARIA	3080
2001/4/10	2001-04-10	COPEPOD NAUPLII	12860
2001/4/10	2001-04-10	DIACYCLOPS THOMASI	25720
2001/4/10	2001-04-10	TROPOCYCLOPS PRASINUS MEXICANUS	720
2001/4/10	2001-04-10	DIAPTOMID	55740
2001/4/10	2001-04-10	AGLAODIAPTOMUS CLAVIPES	14380
2001/4/10	2001-04-10	CHYDORUS	1180
2001/4/10	2001-04-10	DAPHNIA MENDOTAE	5420
2001/4/10	2001-04-10	DAPHNIA PULICARIA	21940
2001/4/23	2001-04-23	COPEPOD NAUPLII	220360
2001/4/23	2001-04-23	CYCLOPOID	36020
2001/4/23	2001-04-23	DIACYCLOPS THOMASI	32580
2001/4/23	2001-04-23	MESOCYCLOPS EDAX	860
2001/4/23	2001-04-23	TROPOCYCLOPS PRASINUS MEXICANUS	1720
2001/4/23	2001-04-23	DIAPTOMID	132040
2001/4/23	2001-04-23	AGLAODIAPTOMUS CLAVIPES	29420
2001/4/23	2001-04-23	CHYDORUS	280
2001/4/23	2001-04-23	DAPHNIA MENDOTAE	5940
2001/4/23	2001-04-23	DAPHNIA PULICARIA	60560
2001/5/7	2001-05-07	COPEPOD NAUPLII	120040
2001/5/7	2001-05-07	CYCLOPOID	121460
2001/5/7	2001-05-07	DIACYCLOPS THOMASI	70020
2001/5/7	2001-05-07	DIAPTOMID	55740
2001/5/7	2001-05-07	AGLAODIAPTOMUS CLAVIPES	9440
2001/5/7	2001-05-07	DAPHNIA MENDOTAE	22160
2001/5/7	2001-05-07	DAPHNIA PULICARIA	258420
2001/5/21	2001-05-21	COPEPOD NAUPLII	168900
2001/5/21	2001-05-21	CYCLOPOID	3420
2001/5/21	2001-05-21	DIACYCLOPS THOMASI	50580
2001/5/21	2001-05-21	MESOCYCLOPS EDAX	1720
2001/5/21	2001-05-21	DIAPTOMID	171480
2001/5/21	2001-05-21	AGLAODIAPTOMUS CLAVIPES	5660
2001/5/21	2001-05-21	DAPHNIA MENDOTAE	2540
2001/5/21	2001-05-21	DAPHNIA PULICARIA	147400
2001/6/4	2001-06-04	COPEPOD NAUPLII	142540
2001/6/4	2001-06-04	CYCLOPOID	8580
2001/6/4	2001-06-04	ACANTHOCYCLOPS	2140
2001/6/4	2001-06-04	DIACYCLOPS THOMASI	22500
2001/6/4	2001-06-04	MESOCYCLOPS EDAX	1080
2001/6/4	2001-06-04	DIAPTOMID	240080
2001/6/4	2001-06-04	AGLAODIAPTOMUS CLAVIPES	5300
2001/6/4	2001-06-04	DAPHNIA MENDOTAE	3180
2001/6/4	2001-06-04	DAPHNIA PULICARIA	145720
2001/6/18	2001-06-18	COPEPOD NAUPLII	127540
2001/6/18	2001-06-18	CYCLOPOID	11780
2001/6/18	2001-06-18	DIACYCLOPS THOMASI	18220
2001/6/18	2001-06-18	MESOCYCLOPS EDAX	5360
2001/6/18	2001-06-18	DIAPTOMID	304380
2001/6/18	2001-06-18	AGLAODIAPTOMUS CLAVIPES	4240
2001/6/18	2001-06-18	DAPHNIA MENDOTAE	1420
2001/6/18	2001-06-18	DAPHNIA PULICARIA	110700
2001/6/18	2001-06-18	SINOBOSMINA FRYEI	360
2001/7/2	2001-07-02	COPEPOD NAUPLII	39660
2001/7/2	2001-07-02	CYCLOPOID	7500
2001/7/2	2001-07-02	ACANTHOCYCLOPS	3220
2001/7/2	2001-07-02	DIACYCLOPS THOMASI	17140
2001/7/2	2001-07-02	MESOCYCLOPS EDAX	9640
2001/7/2	2001-07-02	DIAPTOMID	201480
2001/7/2	2001-07-02	AGLAODIAPTOMUS CLAVIPES	11320
2001/7/2	2001-07-02	CHYDORUS	360
2001/7/2	2001-07-02	DAPHNIA MENDOTAE	9560
2001/7/2	2001-07-02	DAPHNIA PULICARIA	141480
2001/7/16	2001-07-16	COPEPOD NAUPLII	100740
2001/7/16	2001-07-16	CYCLOPOID	16080
2001/7/16	2001-07-16	ACANTHOCYCLOPS	2140
2001/7/16	2001-07-16	DIACYCLOPS THOMASI	36440
2001/7/16	2001-07-16	MESOCYCLOPS EDAX	15000
2001/7/16	2001-07-16	DIAPTOMID	231500
2001/7/16	2001-07-16	AGLAODIAPTOMUS CLAVIPES	5660
2001/7/16	2001-07-16	DAPHNIA	700
2001/7/16	2001-07-16	DAPHNIA MENDOTAE	4240
2001/7/16	2001-07-16	DAPHNIA PULICARIA	94800
2001/7/16	2001-07-16	LEPTODORA KINDTI	40
2001/7/30	2001-07-30	COPEPOD NAUPLII	131820
2001/7/30	2001-07-30	CYCLOPOID	21440
2001/7/30	2001-07-30	ACANTHOCYCLOPS	3220
2001/7/30	2001-07-30	DIACYCLOPS THOMASI	11780
2001/7/30	2001-07-30	MESOCYCLOPS EDAX	3220
2001/7/30	2001-07-30	DIAPTOMID	252940
2001/7/30	2001-07-30	AGLAODIAPTOMUS CLAVIPES	3540
2001/7/30	2001-07-30	DAPHNIA	0
2001/7/30	2001-07-30	DAPHNIA MENDOTAE	1400
2001/7/30	2001-07-30	DAPHNIA PARVULA	360
2001/7/30	2001-07-30	DAPHNIA PULICARIA	14500
2001/7/30	2001-07-30	DIAPHANOSOMA BIRGEI	360
2001/7/30	2001-07-30	LEPTODORA KINDTI	100
2001/8/13	2001-08-13	COPEPOD NAUPLII	65740
2001/8/13	2001-08-13	CYCLOPOID	4280
2001/8/13	2001-08-13	ACANTHOCYCLOPS	720
2001/8/13	2001-08-13	DIACYCLOPS THOMASI	18580
2001/8/13	2001-08-13	MESOCYCLOPS EDAX	37860
2001/8/13	2001-08-13	DIAPTOMID	220780
2001/8/13	2001-08-13	AGLAODIAPTOMUS CLAVIPES	10840
2001/8/13	2001-08-13	DAPHNIA MENDOTAE	5660
2001/8/13	2001-08-13	DAPHNIA PULICARIA	21220
2001/8/13	2001-08-13	DIAPHANOSOMA BIRGEI	15320
2001/8/13	2001-08-13	LEPTODORA KINDTI	160
2001/8/27	2001-08-27	COPEPOD NAUPLII	140620
2001/8/27	2001-08-27	CYCLOPOID	16300
2001/8/27	2001-08-27	ACANTHOCYCLOPS	860
2001/8/27	2001-08-27	DIACYCLOPS THOMASI	8580
2001/8/27	2001-08-27	MESOCYCLOPS EDAX	67740
2001/8/27	2001-08-27	DIAPTOMID	273520
2001/8/27	2001-08-27	AGLAODIAPTOMUS CLAVIPES	5660
2001/8/27	2001-08-27	CHYDORUS	280
2001/8/27	2001-08-27	DAPHNIA MENDOTAE	13300
2001/8/27	2001-08-27	DAPHNIA PULICARIA	16140
2001/8/27	2001-08-27	DIAPHANOSOMA BIRGEI	61120
2001/8/27	2001-08-27	LEPTODORA KINDTI	220
2001/9/12	2001-09-12	COPEPOD NAUPLII	143180
2001/9/12	2001-09-12	CYCLOPOID	9440
2001/9/12	2001-09-12	ACANTHOCYCLOPS	2580
2001/9/12	2001-09-12	DIACYCLOPS THOMASI	9440
2001/9/12	2001-09-12	MESOCYCLOPS EDAX	34300
2001/9/12	2001-09-12	DIAPTOMID	469860
2001/9/12	2001-09-12	AGLAODIAPTOMUS CLAVIPES	11040
2001/9/12	2001-09-12	CHYDORUS	280
2001/9/12	2001-09-12	DAPHNIA	840
2001/9/12	2001-09-12	DAPHNIA MENDOTAE	7080
2001/9/12	2001-09-12	DAPHNIA PULICARIA	2560
2001/9/12	2001-09-12	DIAPHANOSOMA BIRGEI	14720
2001/9/12	2001-09-12	LEPTODORA KINDTI	400
2001/9/26	2001-09-26	COPEPOD NAUPLII	56580
2001/9/26	2001-09-26	CYCLOPOID	8580
2001/9/26	2001-09-26	DIACYCLOPS THOMASI	16300
2001/9/26	2001-09-26	MESOCYCLOPS EDAX	27440
2001/9/26	2001-09-26	DIAPTOMID	230640
2001/9/26	2001-09-26	AGLAODIAPTOMUS CLAVIPES	5660
2001/9/26	2001-09-26	HARPACTICOID	280
2001/9/26	2001-09-26	DAPHNIA MENDOTAE	8760
2001/9/26	2001-09-26	DAPHNIA PULICARIA	2260
2001/9/26	2001-09-26	DIAPHANOSOMA BIRGEI	2260
2001/9/26	2001-09-26	LEPTODORA KINDTI	120
2001/9/26	2001-09-26	SINOBOSMINA FRYEI	560
2001/10/9	2001-10-09	COPEPOD NAUPLII	14300
2001/10/9	2001-10-09	CYCLOPOID	7140
2001/10/9	2001-10-09	DIACYCLOPS THOMASI	67160
2001/10/9	2001-10-09	MESOCYCLOPS EDAX	28580
2001/10/9	2001-10-09	DIAPTOMID	544440
2001/10/9	2001-10-09	AGLAODIAPTOMUS CLAVIPES	16500
2001/10/9	2001-10-09	CHYDORUS	480
2001/10/9	2001-10-09	DAPHNIA	12740
2001/10/9	2001-10-09	DAPHNIA MENDOTAE	74520
2001/10/9	2001-10-09	DAPHNIA RETROCURVA	480
2001/10/9	2001-10-09	DAPHNIA PULICARIA	2360
2001/10/9	2001-10-09	LEPTODORA KINDTI	180
2001/10/9	2001-10-09	SINOBOSMINA FRYEI	480
2001/10/22	2001-10-22	CYCLOPOID	2860
2001/10/22	2001-10-22	DIACYCLOPS THOMASI	50020
2001/10/22	2001-10-22	MESOCYCLOPS EDAX	5720
2001/10/22	2001-10-22	DIAPTOMID	398700
2001/10/22	2001-10-22	AGLAODIAPTOMUS CLAVIPES	18860
2001/10/22	2001-10-22	CHYDORUS	480
2001/10/22	2001-10-22	DAPHNIA	480
2001/10/22	2001-10-22	DAPHNIA MENDOTAE	162700
2001/10/22	2001-10-22	DAPHNIA PULICARIA	13680
2001/10/22	2001-10-22	LEPTODORA KINDTI	220
2001/11/6	2001-11-06	ACANTHOCYCLOPS	1720
2001/11/6	2001-11-06	DIACYCLOPS THOMASI	96880
2001/11/6	2001-11-06	MESOCYCLOPS EDAX	4280
2001/11/6	2001-11-06	DIAPTOMID	798240
2001/11/6	2001-11-06	AGLAODIAPTOMUS CLAVIPES	18960
2001/11/6	2001-11-06	CHYDORUS	280
2001/11/6	2001-11-06	DAPHNIA	1140
2001/11/6	2001-11-06	DAPHNIA MENDOTAE	67340
2001/11/6	2001-11-06	DAPHNIA PULICARIA	7940
2001/11/6	2001-11-06	LEPTODORA KINDTI	140
2001/11/6	2001-11-06	SINOBOSMINA FRYEI	280
2001/11/26	2001-11-26	DIACYCLOPS THOMASI	21440
2001/11/26	2001-11-26	DIAPTOMID	449280
2001/11/26	2001-11-26	AGLAODIAPTOMUS CLAVIPES	25180
2001/11/26	2001-11-26	HARPACTICOID	280
2001/11/26	2001-11-26	CHYDORUS	280
2001/11/26	2001-11-26	DAPHNIA	280
2001/11/26	2001-11-26	DAPHNIA MENDOTAE	20380
2001/11/26	2001-11-26	DAPHNIA PULICARIA	14720
2001/11/26	2001-11-26	LEPTODORA KINDTI	20
2002/3/28	2002-03-28	COPEPOD NAUPLII	1020
2002/3/28	2002-03-28	DIACYCLOPS THOMASI	19420
2002/3/28	2002-03-28	TROPOCYCLOPS PRASINUS MEXICANUS	1020
2002/3/28	2002-03-28	DIAPTOMID	284040
2002/3/28	2002-03-28	AGLAODIAPTOMUS CLAVIPES	15940
2002/3/28	2002-03-28	ALONA	300
2002/3/28	2002-03-28	CHYDORUS	300
2002/3/28	2002-03-28	DAPHNIA MENDOTAE	7060
2002/3/28	2002-03-28	DAPHNIA PULICARIA	29420
2002/4/8	2002-04-08	COPEPOD NAUPLII	3140
2002/4/8	2002-04-08	DIACYCLOPS THOMASI	26720
2002/4/8	2002-04-08	TROPOCYCLOPS PRASINUS MEXICANUS	1580
2002/4/8	2002-04-08	DIAPTOMID	251500
2002/4/8	2002-04-08	AGLAODIAPTOMUS CLAVIPES	22640
2002/4/8	2002-04-08	DAPHNIA MENDOTAE	5180
2002/4/8	2002-04-08	DAPHNIA PULICARIA	51860
2002/4/24	2002-04-24	COPEPOD NAUPLII	67900
2002/4/24	2002-04-24	CYCLOPOID	2820
2002/4/24	2002-04-24	DIACYCLOPS THOMASI	3780
2002/4/24	2002-04-24	TROPOCYCLOPS PRASINUS MEXICANUS	1880
2002/4/24	2002-04-24	DIAPTOMID	142420
2002/4/24	2002-04-24	AGLAODIAPTOMUS CLAVIPES	3680
2002/4/24	2002-04-24	ALONA	280
2002/4/24	2002-04-24	DAPHNIA PULICARIA	45000
2002/5/6	2002-05-06	COPEPOD NAUPLII	264080
2002/5/6	2002-05-06	CYCLOPOID	18860
2002/5/6	2002-05-06	DIACYCLOPS THOMASI	12960
2002/5/6	2002-05-06	MESOCYCLOPS EDAX	14140
2002/5/6	2002-05-06	TROPOCYCLOPS PRASINUS MEXICANUS	1180
2002/5/6	2002-05-06	DIAPTOMID	236960
2002/5/6	2002-05-06	AGLAODIAPTOMUS CLAVIPES	8840
2002/5/6	2002-05-06	CHYDORUS	1060
2002/5/6	2002-05-06	DAPHNIA PULICARIA	174360
2002/5/20	2002-05-20	COPEPOD NAUPLII	62240
2002/5/20	2002-05-20	CYCLOPOID	15100
2002/5/20	2002-05-20	DIACYCLOPS THOMASI	12260
2002/5/20	2002-05-20	TROPOCYCLOPS PRASINUS MEXICANUS	6600
2002/5/20	2002-05-20	DIAPTOMID	225420
2002/5/20	2002-05-20	AGLAODIAPTOMUS CLAVIPES	8480
2002/5/20	2002-05-20	HARPACTICOID	3960
2002/5/20	2002-05-20	ALONA	280
2002/5/20	2002-05-20	CHYDORUS	1140
2002/5/20	2002-05-20	DAPHNIA MENDOTAE	1700
2002/5/20	2002-05-20	DAPHNIA PULICARIA	71300
2002/5/20	2002-05-20	SINOBOSMINA FRYEI	560
2002/6/3	2002-06-03	COPEPOD NAUPLII	206320
2002/6/3	2002-06-03	CYCLOPOID	10620
2002/6/3	2002-06-03	ACANTHOCYCLOPS	1180
2002/6/3	2002-06-03	DIACYCLOPS THOMASI	10620
2002/6/3	2002-06-03	MESOCYCLOPS EDAX	4720
2002/6/3	2002-06-03	TROPOCYCLOPS PRASINUS MEXICANUS	3540
2002/6/3	2002-06-03	DIAPTOMID	346600
2002/6/3	2002-06-03	AGLAODIAPTOMUS CLAVIPES	8140
2002/6/3	2002-06-03	CHYDORUS	360
2002/6/3	2002-06-03	DAPHNIA	6020
2002/6/3	2002-06-03	DAPHNIA MENDOTAE	700
2002/6/3	2002-06-03	DAPHNIA PULICARIA	39960
2002/6/3	2002-06-03	SINOBOSMINA FRYEI	360
2002/6/18	2002-06-18	COPEPOD NAUPLII	43220
2002/6/18	2002-06-18	CYCLOPOID	7860
2002/6/18	2002-06-18	ACANTHOCYCLOPS	4720
2002/6/18	2002-06-18	DIACYCLOPS THOMASI	10220
2002/6/18	2002-06-18	MESOCYCLOPS EDAX	1580
2002/6/18	2002-06-18	TROPOCYCLOPS PRASINUS MEXICANUS	780
2002/6/18	2002-06-18	DIAPTOMID	271940
2002/6/18	2002-06-18	AGLAODIAPTOMUS CLAVIPES	5660
2002/6/18	2002-06-18	CHYDORUS	240
2002/6/18	2002-06-18	DAPHNIA	240
2002/6/18	2002-06-18	DAPHNIA MENDOTAE	1180
2002/6/18	2002-06-18	DAPHNIA PULICARIA	55640
2002/6/18	2002-06-18	SINOBOSMINA FRYEI	1180
2002/7/1	2002-07-01	COPEPOD NAUPLII	3620
2002/7/1	2002-07-01	CYCLOPOID	16260
2002/7/1	2002-07-01	DIACYCLOPS THOMASI	9040
2002/7/1	2002-07-01	DIAPTOMID	348880
2002/7/1	2002-07-01	AGLAODIAPTOMUS CLAVIPES	15720
2002/7/1	2002-07-01	ALONA	540
2002/7/1	2002-07-01	DAPHNIA	8140
2002/7/1	2002-07-01	DAPHNIA MENDOTAE	3800
2002/7/1	2002-07-01	DAPHNIA PULICARIA	123100
2002/7/15	2002-07-15	COPEPOD NAUPLII	27500
2002/7/15	2002-07-15	CYCLOPOID	780
2002/7/15	2002-07-15	DIACYCLOPS THOMASI	3140
2002/7/15	2002-07-15	MESOCYCLOPS EDAX	2360
2002/7/15	2002-07-15	DIAPTOMID	74660
2002/7/15	2002-07-15	AGLAODIAPTOMUS CLAVIPES	3060
2002/7/15	2002-07-15	DAPHNIA MENDOTAE	720
2002/7/15	2002-07-15	DAPHNIA PULICARIA	21680
