Biology Entity	Environment	Correlation Coefficient	P-Value	is_significant
Cyanobacteria duration days	Magnesium	0.47682583929713546	0.08527071642136819	False
Cyanobacteria duration days	Sodium	0.31492193346260305	0.30258669983979014	False
Cyanobacteria duration days	Potassium	0.2053000141418222	0.4897422579745554	False
Cyanobacteria duration days	Iron	0.07986401614419587	0.7906672158780159	False
Cyanobacteria duration days	Manganese	0.02457354342898335	0.935030301363363	False
Cyanobacteria duration days	pH	0.4326752986214748	0.12448789135271632	False
Cyanobacteria duration days	Dissolved inorganic carbon	0.6979370097122246	0.00633555634622307	True
Cyanobacteria duration days	Total inorganic carbon	0.7586271844698093	0.0016891527195057598	True
Cyanobacteria duration days	Dissolved organic carbon	0.5585043395471078	0.03646964553747423	True
Cyanobacteria duration days	Total organic carbon	0.5849946639525042	0.026268905085055305	True
Cyanobacteria duration days	Nitrate plus nitrite	0.1214139868580669	0.6857119863096002	False
Cyanobacteria duration days	Ammonium	0.5209763799727961	0.055372191913046986	False
Cyanobacteria duration days	Total phosphorus	0.2759408792228793	0.3474517399327888	False
Cyanobacteria duration days	Soluble reactive phosphorus	0.2328159645232816	0.4315239522408958	False
Phytoplankton-Total biomass concentration	Temperature	0.23956043956043957	0.41778093316703657	False
Phytoplankton-Total biomass concentration	Dissolved oxygen	0.3142857142857143	0.28064237369071865	False
Phytoplankton-Total biomass concentration	Secchi depth	-0.1252747252747253	0.6761785468906714	False
Phytoplankton-Total biomass concentration	Chlorophyll a	0.3681318681318681	0.22191092407385105	False
Phytoplankton-Total biomass concentration	Chloride	0.11208791208791209	0.7089086132415123	False
Phytoplankton-Total biomass concentration	Sulfate	0.3142857142857143	0.28064237369071865	False
Phytoplankton-Total biomass concentration	Calcium	0.1912087912087912	0.5208274264918418	False
Phytoplankton-Total biomass concentration	Magnesium	0.02857142857142857	0.9244844051361811	False
Phytoplankton-Total biomass concentration	Sodium	0.2747252747252747	0.3725750729797126	False
Phytoplankton-Total biomass concentration	Potassium	-0.05054945054945055	0.8667433139726168	False
Phytoplankton-Total biomass concentration	Iron	-0.07033770704607463	0.8152414556001473	False
Phytoplankton-Total biomass concentration	Manganese	-0.033639772935079165	0.9111305659283511	False
Phytoplankton-Total biomass concentration	pH	0.4241758241758242	0.13318016537049027	False
Phytoplankton-Total biomass concentration	Dissolved inorganic carbon	0.19230769230769232	0.5380279362315727	False
Phytoplankton-Total biomass concentration	Total inorganic carbon	0.1868131868131868	0.5499900441837353	False
Phytoplankton-Total biomass concentration	Dissolved organic carbon	-0.04615384615384615	0.8782533154624499	False
Phytoplankton-Total biomass concentration	Total organic carbon	-0.032967032967032975	0.9129019563547709	False
Phytoplankton-Total biomass concentration	Nitrate plus nitrite	-0.12967032967032965	0.6653759541355331	False
Phytoplankton-Total biomass concentration	Ammonium	0.45494505494505494	0.10348414842166331	False
Phytoplankton-Total biomass concentration	Total phosphorus	0.6923076923076923	0.004698561009804925	True
Phytoplankton-Total biomass concentration	Soluble reactive phosphorus	0.39073228497959717	0.17110821977979684	False
Zooplankton density	Temperature	0.6	0.021510100289286793	True
Zooplankton density	Dissolved oxygen	0.14725274725274726	0.6227485517409632	False
Zooplankton density	Secchi depth	0.42857142857142855	0.12863762413165536	False
Zooplankton density	Chlorophyll a	-0.4450549450549451	0.13022813982700532	False
Zooplankton density	Chloride	0.3010989010989011	0.30274394246716474	False
Zooplankton density	Sulfate	0.3230769230769231	0.2664260045563376	False
Zooplankton density	Calcium	0.3274725274725274	0.25947437512306903	False
Zooplankton density	Magnesium	0.4593406593406593	0.09963570179271053	False
Zooplankton density	Sodium	0.19230769230769232	0.5380279362315727	False
Zooplankton density	Potassium	-0.01098901098901099	0.9709252260816468	False
Zooplankton density	Iron	-0.14373357526806552	0.6312028739586135	False
Zooplankton density	Manganese	-0.1987804764345587	0.5040214760573309	False
Zooplankton density	pH	0.2967032967032967	0.31031653091811773	False
Zooplankton density	Dissolved inorganic carbon	0.3516483516483516	0.24540661462567037	False
Zooplankton density	Total inorganic carbon	0.32967032967032966	0.2788313446817443	False
Zooplankton density	Dissolved organic carbon	-0.059340659340659345	0.8437945127671473	False
Zooplankton density	Total organic carbon	-0.03736263736263736	0.9013346265359652	False
Zooplankton density	Nitrate plus nitrite	-0.006593406593406593	0.9825531132421035	False
Zooplankton density	Ammonium	0.1956043956043956	0.5110423015601455	False
Zooplankton density	Total phosphorus	0.1032967032967033	0.7309795576853952	False
Zooplankton density	Soluble reactive phosphorus	0.13907420312833116	0.6424573478764823	False
